,Gene,PCA_feat
39,49,"[0.8826365116040503, -0.45848281133775814, -0.46852303494207653, 0.5682935063765362, -0.1390772642189083]"
40,50,"[0.8837336049259693, -0.3300611138005197, -0.20940693704927027, 0.6213199598525865, -0.0860879960670116]"
41,51,"[0.8638048643164299, -0.4459655971248726, -0.3007562865398963, 0.5864037290208961, -0.14374011523647365]"
42,52,"[-0.3211527700673195, 0.01185880185935875, -0.45237775450380585, -0.017163162135932008, -0.20628546346907728]"
43,53,"[0.7574033642184543, -0.5914527218340397, 0.059598306150907096, 0.5866414285068589, -0.01799456328354471]"
44,54,"[-0.30113725254162377, 0.08329052131409327, -0.43780058380603915, 0.0004555812165438986, -0.1955546702441893]"
45,55,"[0.8536222138486231, -0.4946023010439718, -0.3720711814749026, 0.569071989735925, -0.08722899380487435]"
46,56,"[-0.4846786105536401, -0.15282821285125903, 0.2814347252368337, 0.012690313232122889, -0.08929350906779573]"
47,58,"[0.60257545560521, -0.19934301705528937, -0.336619298176902, -0.3537283904914734, -0.1450228304493796]"
48,59,"[0.853600292067207, 0.6580129671974393, -0.19801829679480348, -0.14586501435132188, -0.0890424821567527]"
49,60,"[0.895080321461117, 0.73897925837459, -0.3604512093419947, -0.1418924116003936, -0.0014601320474780261]"
50,62,"[-0.475897034655257, -0.1407046600163751, 0.18797411756436172, 0.007342834128489451, 0.01225672467492705]"
51,70,"[0.7345937476981561, 0.4147279268084954, 0.03459148059182026, -0.17956183544330112, 0.023447113380539134]"
52,71,"[0.6237783811469442, -0.1745978821873938, -0.42992804068621915, -0.35661803607624837, -0.14967126883688614]"
53,72,"[0.6306951817609067, -0.12460594883842564, -0.37030838618550804, -0.339773074758791, -0.138944554612391]"
54,81,"[-0.050994758075968115, 0.9345168960256982, -0.3153311604192242, 0.20551378427552858, -0.12502589453564056]"
55,86,"[0.755454108811928, 0.6062276972469985, 0.2693698597812591, -0.11421104701560349, 0.12459409586043796]"
56,87,"[-0.11089104248957854, 0.8733800361909694, -0.03348404702546269, 0.21734812695350064, -0.10833095649622795]"
57,88,"[-0.1343281605063814, 0.8516011750088626, 0.03812027565151786, 0.21924988048998895, -0.025455841759590814]"
58,89,"[-0.37535543594461546, -0.04140050356419653, -0.2310376862459556, -0.008784248671019507, -0.12383580679524817]"
59,90,"[0.7068618225827819, 0.11440886119246323, -0.27776796622273514, -0.33611640987136526, -0.1204934499530323]"
60,91,"[0.7956561729288416, 0.6448021485528634, 0.19593258528738813, -0.17153341190082338, 0.07631452574421109]"
61,92,"[0.8452357055153616, 0.6917886496489662, 0.022341551743556443, -0.1771925799677931, -0.05660918870063975]"
62,93,"[0.8059693254414583, 0.5453601003373942, -0.03896238288135142, -0.21604032673941193, -0.04594151577508863]"
63,94,"[0.6361633475716127, -0.16741269689956007, -0.40568780861459963, -0.4119667988647025, -0.14422606868189417]"
64,95,"[-0.35869887776745446, -0.0255954854053434, -0.2898013005848331, -0.010718076359062677, -0.1676352677074213]"
65,98,"[0.8131230597833328, -0.5360973071083991, -0.1778781293572622, 0.5773399202781854, -0.08291008411444943]"
66,100,"[0.8910419609162842, -0.4573224786965616, -0.5333028848437734, 0.562703839755222, -0.12734034653196802]"
67,101,"[0.8495155796710747, -0.5002720995583573, -0.3283667099383968, 0.5715724812084343, -0.13471656414678698]"
68,102,"[-0.04188603095655118, 0.9435436235425109, -0.3537883180591481, 0.20401836159357975, -0.13636568101121527]"
69,103,"[0.8777460989192722, -0.4538522294780196, -0.43425355699795065, 0.5725513437518164, -0.11843521224008374]"
70,104,"[1.0348613928843697, 0.21023480812319958, -0.09441273114355425, 0.7549963252189772, -0.009844866545816103]"
71,105,"[0.9679317335899639, 0.17941345764552052, 0.23748097767437745, 0.7787840282890451, 0.13101282579175025]"
72,106,"[-0.4617044587170961, -0.12830152720981688, 0.15543318456974847, 0.0069092997575664365, -0.06003527906485565]"
73,107,"[-0.1331758640474974, 0.8519614298485056, 0.019462044281253785, 0.21771074417633177, -0.005929116363587689]"
74,108,"[-0.16712163274293196, 0.8203187892234771, 0.1480917071478972, 0.22253585879600246, 0.07011644546608432]"
75,109,"[-0.3523700278188772, -0.020406781570444676, -0.29867389445015013, -0.010520860221580226, -0.21112048703514802]"
76,111,"[-0.10613590499581038, 0.8795609547509962, -0.08608679102611254, 0.21419128165196857, -0.05140796607450773]"
77,112,"[-0.37806581710627785, -0.041897874509035864, -0.18533183671076095, -0.004925766724183647, -0.17152959390670947]"
78,113,"[-0.38282127191095333, -0.04815845581231824, -0.21006210096251693, -0.008288807862586902, -0.09350090685766796]"
79,114,"[-0.3619837418589736, -0.030129726783801842, -0.2548373197187275, -0.008717282423408813, -0.20562516472489184]"
80,115,"[-0.12333078642538033, 0.8484098993397808, -0.02055194590939894, 0.21298122425929297, -0.07479739046740082]"
81,116,"[0.7576765513947563, 0.29344404381182104, -0.3539108373968036, -0.25044426806613285, -0.17173148422457898]"
82,117,"[0.6031386955853382, -0.22327265697172632, -0.3588908476043972, -0.3750465797342519, -0.16336680888961416]"
83,118,"[0.8135151329979718, 0.6566150683710901, 0.04128695036163012, -0.12405285057870843, -0.006475676382688111]"
84,119,"[0.8112989770077219, 0.6578988383127804, 0.0874428558085554, -0.11974752309458528, -0.05399189268507592]"
