,Gene,PCA_feat
1260,1723,"[0.8590569130205111, -0.48898398280657146, -0.3627803780742859, 0.5709461490089739, -0.1494403106842237]"
1261,1725,"[-0.3678485235472036, -0.03449451573413666, -0.25197586612856293, -0.009242550901785947, -0.15415594832811425]"
1262,1727,"[-0.34167832807697934, -0.009180993375255898, -0.351882999198721, -0.012800763818552111, -0.20776455791130705]"
1263,1728,"[-0.2807636146888106, 0.05323830991498275, -0.6452111564045283, -0.025339363498692317, -0.2120596514200445]"
1264,1729,"[-0.11158219576884126, 0.8179568057841382, -0.153299360843909, 0.19380298905961674, -0.11447484203837206]"
1265,1730,"[-0.11932103744781784, 0.8622988025667214, -0.019820187570784648, 0.21622420730721914, -0.07052520912946163]"
1266,1731,"[0.5581592465312818, -0.2588019181614381, -0.021812824104704663, -0.40770737792525175, -0.05986802007497543]"
1267,1732,"[-0.3899607349632194, -0.05801603832336741, -0.13408377439563826, -0.003942014325872508, -0.176056306777313]"
1268,1733,"[-0.17152202064586822, 0.5400958122158289, -0.29644971422575683, 0.11709089580735155, -0.23155383784260908]"
1269,1734,"[-0.1674785592041513, 0.5690572808639633, -0.2949196996935772, 0.1240730331430016, -0.16806073525628265]"
1270,1735,"[-0.16673885666389032, 0.5721444893460912, -0.29205637753962743, 0.12502859701143443, -0.16991860159435046]"
1271,1736,"[0.8922913035534467, 0.7514423809815918, -0.018106565480381673, -0.19340145930476646, 0.03420926551319534]"
1272,1737,"[-0.32178455857147603, 0.01098653009971078, -0.44565398840509995, -0.01677846990212007, -0.2135912430296974]"
1273,1738,"[0.8644189830163337, -0.4779469314170724, -0.4009621582707919, 0.5701542871588804, -0.10574894322798943]"
1274,1739,"[0.8103368006147612, 0.66016056197434, 0.018414670875657492, -0.10562545054831425, -0.06632619622814712]"
1275,1740,"[0.7212323349967515, 0.38508614573792543, 0.02069391803562375, -0.16795151605535832, -0.05775905733212243]"
1276,1741,"[-0.0934376796629897, 0.893938869398897, -0.16069033902303642, 0.21077931227331742, -0.023232646451697238]"
1277,1742,"[0.8150272383093415, 0.6697603579992393, -0.01526935351307679, -0.10635541829342632, -0.027831288830095353]"
1278,1743,"[0.9428063760240782, -0.0907051121602997, -0.09704771721375811, 0.6861027110736055, -0.0601308870343459]"
1279,1745,"[0.8040252913161429, 0.6477466203531733, 0.21072981489884923, -0.16931634311502344, 0.05271414961922816]"
1280,1746,"[0.7989430595341938, 0.6533657028630393, 0.25152924651226566, -0.16425892371600964, 0.06836273384464207]"
1281,1747,"[0.6174382719162946, -0.16579989954208318, -0.22682530681124605, -0.39490622368448547, -0.11763430551367048]"
1282,1748,"[0.6141398215730316, -0.15880315816554794, -0.20862396024878122, -0.39150323194980596, -0.07943119504055825]"
1283,1749,"[0.6713169737162071, 0.02879524848922993, -0.1755720560507079, -0.3459059100773814, -0.10039979121697616]"
1284,1750,"[0.8278569024090492, 0.6434948823307507, 0.07375526077068012, -0.18307772512924744, -0.02622686320646761]"
1285,1755,"[0.8370920153786241, -0.5102328576202686, -0.31465231852874276, 0.5709288807911967, -0.041968376259720025]"
1286,1756,"[-0.021691451220427486, 0.9642333849470455, -0.4502050171455703, 0.19993026276284243, -0.1392527742512766]"
1287,1757,"[0.8776816647543643, -0.4721257086871715, -0.45113778993156284, 0.5666814034881292, -0.16209384795710913]"
1288,1758,"[-0.34466215409516904, -0.009764871589142885, -0.38070379170497176, -0.015214056675288964, -0.12198995700355579]"
1289,1759,"[0.8632360954834486, 0.6973143388681442, -0.023322977579501476, -0.19029694254864662, -0.042239866558821636]"
1290,1760,"[0.6225493673584, -0.15820620716349817, -0.27116262160661836, -0.3977229405978199, -0.1701212703642194]"
1291,1761,"[-0.1517139349239118, 0.6643361442364096, -0.23655868129150118, 0.15140069331786912, -0.08358961312980741]"
1292,1762,"[-0.36133054015652394, 0.21230514454491217, 0.21395305574800685, 0.08974603008532925, -0.052033963925752824]"
1293,1763,"[-0.3249435136991078, 0.006625125867574663, -0.4120351693917354, -0.014855020131335423, -0.2501201453623282]"
1294,1767,"[0.8413991394596708, -0.5078354329818373, -0.30200886329521953, 0.5723571096770992, -0.10883209113507193]"
1295,1768,"[0.7822239148624669, -0.5680534598496053, -0.026209761475934897, 0.5838703745986642, -0.08695353375114188]"
1296,1769,"[0.8516636652408663, -0.497306358796996, -0.35122751043441747, 0.5702645318228118, -0.10987691196794135]"
1297,1770,"[0.793480727551681, -0.5560609915714112, -0.08752771961187472, 0.5810670025310976, -0.07345366804786896]"
1298,1773,"[-0.2933657632990761, 0.03948181088920897, -0.5711145795844512, -0.021823429228793077, -0.23804621688859637]"
1299,1774,"[-0.3600805328680852, 0.2282495357559994, 0.19761117759848085, 0.09219509380382578, 0.02532092008684005]"
1300,1775,"[-0.4724111543742816, -0.13944089582893632, 0.20935854271968732, 0.009271236384015773, -0.06410447443489618]"
1301,1776,"[-0.31380554191290494, 0.0184702296239564, -0.4720015292917513, -0.01757465756336789, -0.23807873485104658]"
1302,1777,"[0.7866965395352072, -0.5616265198820343, -0.07250058783512199, 0.5813184220401554, -0.03650295282828175]"
1303,1778,"[1.110609471031787, 0.4135142619673564, -0.15487661793443813, 0.7956110965522373, -0.03853119070290114]"
1304,1780,"[0.46859414504687624, -0.3304325211589778, 0.2012642709900631, -0.3336569288653178, 0.07720738149622511]"
1305,1781,"[0.5087600768925195, -0.2930038668858056, 0.07082668441880836, -0.3375398713802552, -0.050887589603500316]"
1306,1783,"[0.6758241644365993, 0.5140666134425426, 0.6646682139010771, -0.09939904412558104, 0.06669748641788022]"
1307,1785,"[0.882812228167583, 0.7176013001674515, -0.11081403408754008, -0.19370151267478627, -0.0545515809241535]"
1308,1786,"[0.859194633352649, 0.7497231330775219, -0.3004039608067054, -0.07830324884059015, -0.039198000751276406]"
1309,1787,"[-0.4203676143455048, -0.08561358903771053, -0.047485860799576944, -0.0018439343169688806, -0.05485079543404775]"
1310,1788,"[-0.2895750240582576, 0.04471547105635241, -0.6114571686950674, -0.024131575203412532, -0.19421153657298265]"
1311,1789,"[-0.24007685104071488, 0.2242259238679669, -0.5605434100987288, 0.021386112249614734, -0.18209029992002668]"
1312,1791,"[0.8403882757361275, -0.5092310754263557, -0.29125083946499414, 0.5729726153372446, -0.12052133919264492]"
1313,1793,"[-0.35623461285989105, -0.018400068465771982, -0.2963161782584953, -0.009637147954374876, -0.1582553386116983]"
1314,1794,"[-0.1335675079695322, 0.8526569337039913, 0.030054038672247485, 0.21879051586802925, -0.01668800578359013]"
1315,1795,"[-0.08214883245410443, 0.9023385560723448, -0.1622996728566576, 0.21211762105590018, -0.1291303385205723]"
1316,1796,"[-0.35936168462373913, -0.006718017803438185, -0.2588456845328915, -0.0034811422448609844, -0.1369491339738055]"
1317,1797,"[-0.433412015567894, -0.09998068067098298, 0.03131735168929477, 0.0019412839205812783, -0.08595140683188322]"
1318,1798,"[0.80739385544673, -0.5403948783950983, -0.17708294242377912, 0.5766504578092985, -0.029268520920982012]"
1319,1800,"[-0.3374302568919125, -0.0034228595502730484, -0.3976484014176858, -0.015460151370342533, -0.15810253544926542]"
1320,1801,"[-0.36681531971132125, -0.033158825072454996, -0.26344345551928716, -0.009933449456775332, -0.1417507953181651]"
1321,1802,"[-0.4927930768950265, -0.1603844326334336, 0.30779436934384297, 0.01347672634280855, -0.06340832686173696]"
1322,1803,"[0.8762807759146168, -0.4705106539596543, -0.49471056182284007, 0.5634835976702264, -0.061623544184677206]"
1323,1804,"[0.9257297138633945, -0.2020899748895152, -0.21572615451851235, 0.6498458950340129, -0.08773526709239479]"
1324,1805,"[0.5414681677309683, -0.23051378460694005, -0.21213850923158406, -0.2920937447036962, -0.14688378363626983]"
1325,1806,"[0.879577034374774, -0.46950887860360035, -0.47130908448687103, 0.5655273305008197, -0.14017650779930235]"
1326,1807,"[0.8155074979278423, -0.5328416277276173, -0.2034433367620758, 0.5758632998189345, -0.0551539991328774]"
1327,1808,"[1.090618472512973, 0.3896252117453502, -0.078711987216021, 0.7972067024922215, -0.01575035886426112]"
1328,1809,"[1.0413179908019081, 0.34589179871321046, 0.10681170415987548, 0.8046476312289629, 0.10594756262856096]"
1329,1810,"[-0.21173315615360408, 0.722588814918463, 0.2792065338398506, 0.2120039051596467, 0.009016232192657661]"
1330,1811,"[0.6300502993239908, -0.244195464169081, -0.24026708659925552, -0.5164006185898364, -0.10353486527334956]"
1331,1812,"[0.8525998671055361, 0.64957948660145, -0.18883020734527725, -0.1606822728279471, -0.07988611031162615]"
1332,1813,"[0.8141836223951713, 0.4769364051801143, -0.3245782707851945, -0.21222037402456942, -0.05591820868692859]"
1333,1814,"[0.5897291173653227, -0.23327533019926866, -0.32782662132460094, -0.3741918849076048, -0.08866984584179476]"
1334,1815,"[0.5659607136837358, -0.2566695039793238, -0.25871370443653896, -0.3728764318577635, -0.0037901241330374215]"
1335,1816,"[0.5284777852910221, -0.29403656242105636, -0.09680962671127424, -0.3664698148910812, 0.03559064974887879]"
1336,1819,"[-0.45848219984808236, -0.12385244570645709, 0.12114210267588409, 0.004947493681507939, -0.022775753903923876]"
1337,1820,"[0.8259007400661813, 0.6801662597178721, 0.24983531442579035, -0.18487723428672412, 0.1162742143022131]"
1338,1821,"[-0.46444974637191694, -0.12844712598835192, 0.12463988471875026, 0.0044249034109103014, 0.027948661636331532]"
1339,1822,"[-0.02873530926687782, 0.9580129572285664, -0.4339545302593084, 0.20013808857503726, -0.10381111290513777]"
1340,1823,"[0.4815896397068159, -0.28884702779108223, 0.005967293258547404, -0.28477294703975214, -0.008762382503629604]"
1341,1824,"[0.5188012858836943, -0.25176109036044514, -0.15458855608622726, -0.29112096662348547, -0.04821002613782582]"
1342,1825,"[0.5775191723411282, -0.1959104912089284, -0.36396102713385375, -0.2980917855701408, -0.19818710835780134]"
1343,1826,"[-0.15027277703967012, 0.8369572929625672, 0.09023311368755442, 0.22087148508349777, 0.025678197039739198]"
1344,1827,"[0.6187218965563901, -0.17749522803808815, -0.40230909115654323, -0.36223647175755985, -0.2374829799639583]"
1345,1828,"[0.7512085737485339, 0.5852509932011924, 0.05412868851779701, -0.08137611583903642, 0.03812340605603321]"
1346,1829,"[0.5514194170206633, -0.22111061735412896, -0.26471965832177685, -0.29456547669271754, -0.14384531189679584]"
1347,1830,"[0.5433847326162315, -0.2286544747422124, -0.23769290099352594, -0.2937240287667886, -0.1200856993569165]"
1348,1831,"[-0.23184758529723823, 0.3839698354709252, -0.2657361823367082, 0.0846846553450123, -0.1548536379647936]"
1349,1832,"[0.8627480297227168, 0.7129547914731744, -0.15242508636327273, -0.12910599756038382, -0.06194088806950914]"
1350,1833,"[-0.4438473575057348, -0.11083867058710563, 0.08389454657193274, 0.004244687812800528, -0.08995370675905437]"
1351,1834,"[-0.31261263019502405, 0.0201005655438306, -0.4847835022507707, -0.018312341548874688, -0.22420044349870652]"
1352,1836,"[0.6301136660702815, -0.2441075598341113, -0.24093929210564088, -0.5164389179302611, -0.1028042198079327]"
1353,1837,"[-0.2423652171808116, 0.5063289987789661, 0.012940223367009767, 0.13846794629646453, -0.013780721480122264]"
1354,1838,"[-0.4242847115801032, -0.09102170461254193, -0.005798518735986901, 0.0005411498395485249, -0.10014663176703906]"
1355,1839,"[0.628657155832103, -0.1273060386010896, -0.3974681127033998, -0.35010144655671166, -0.16830301430686034]"
1356,1840,"[0.7975193858879628, -0.5499338543759358, -0.12764454633522695, 0.5789830085176163, -0.02952991255577197]"
1357,1841,"[0.5105773122248617, -0.2910576800667738, 0.10025255625727719, -0.39319259235234466, 0.057882879997629415]"
1358,1842,"[-0.4884360031461314, -0.1543739272929162, 0.2613983189301343, 0.010820300322330776, -0.012999262381630761]"
1359,1843,"[-0.2978470743514428, 0.042496560755406844, -0.5525305623754064, -0.019298718816970158, -0.20168385467704497]"
1360,1844,"[-0.3127278209926717, 0.01996635565735263, -0.48342858012202966, -0.01822530673077888, -0.22565758723956153]"
1361,1845,"[-0.3023604019498412, 0.3343356594786892, 0.03223841540011767, 0.10121786955209805, 0.01444754752765124]"
1362,1846,"[-0.1187218465615856, 0.7894169091716299, -0.17439911831886465, 0.18543596477333343, -0.10288248963863]"
1363,1847,"[-0.3383038567277542, -0.0027787180561170575, -0.3787363807423952, -0.013669036101612275, -0.17752912757059502]"
1364,1848,"[-0.0492797074572077, 0.919987706721047, -0.3444632157036122, 0.1994365003891915, -0.15459548829534386]"
1365,1849,"[-0.24748398261016188, 0.5374427077818493, 0.10994703619653168, 0.15446594988034418, 0.0072647910203155275]"
1366,1850,"[-0.23071991077009743, 0.5586918788729139, 0.07755805529947792, 0.15607061709960257, -0.061979661556773015]"
1367,1852,"[-0.21262992979360465, 0.6577158148604335, 0.11394961060459169, 0.1823461959929884, 0.046686926379571315]"
1368,1854,"[0.8201338195279873, -0.5292938453473512, -0.19050921092173356, 0.5775801258770821, -0.12190302911357205]"
1369,1855,"[0.6090201610177192, -0.19653081727950428, -0.40732113481190146, -0.36680440680916676, -0.1831450776760319]"
1370,1856,"[0.5633786584450906, -0.24160729329114883, -0.21704329917356285, -0.35947717213579405, -0.1214649604622297]"
1371,1857,"[0.6972725468512979, 0.14349669533075296, -0.2896929156087129, -0.27852422707139834, -0.1276218709495484]"
1372,1858,"[-0.4803195637695453, -0.14681059687804246, 0.23504047152674723, 0.010035671098878826, -0.038883735693288804]"
1373,1859,"[0.8837801509111188, 0.7305934367354201, -0.15100433257342122, -0.18426449660635558, -0.08357463689769844]"
1374,1861,"[0.5629183981417318, -0.20365553210801804, -0.3106794826728748, -0.29401825625424005, -0.14199303791593193]"
1375,1866,"[-0.4324011518615554, -0.09858503828846868, 0.02055932784340242, 0.0013257782448804624, -0.07426215878049182]"
1376,1867,"[-0.4724112374097211, -0.13944119508082498, 0.20935846710518513, 0.009271161308892894, -0.06410450426880793]"
1377,1869,"[0.9121426695499241, 0.7652766948566868, -0.14403216988328327, -0.20162352273550613, 0.059513992325432946]"
1378,1870,"[0.6866048398671803, 0.06029088323380156, -0.10082293471218991, -0.35836106670392276, -0.019638966332911036]"
1379,1871,"[0.8614484014476835, 0.6863371425354011, 0.037227367280457446, -0.20305129309257655, 0.06370927786280037]"
1380,1874,"[0.7360799554708691, 0.23859453178245735, -0.05576944583922471, -0.3136289569429482, -0.001862987255116746]"
1381,1875,"[0.7714988561306069, 0.5920001937664043, 0.372283142381972, -0.19330904372833915, 0.2328528268444302]"
1382,1876,"[0.5797887220766299, -0.1439714676547943, 0.11939526250956, -0.38420772755892, 0.11843629426873462]"
1383,1877,"[-0.46026402052741244, -0.07453231131844165, 0.25330363641833864, 0.028168559737469113, -0.031677953297110255]"
1384,1879,"[-0.08860481492847591, 0.8952870442110368, -0.16084194080071135, 0.21084954675255216, -0.07861201336295877]"
1385,1880,"[0.5347882049942445, -0.27935700283978815, -0.05401090378107642, -0.3596149671365388, -0.059606910119632595]"
1386,1881,"[-0.37483905110438737, -0.044236739092908726, -0.17805164190181622, -0.0050478738104975185, -0.2345342019862137]"
1387,1889,"[1.1009372292611594, 0.3778136345842957, -0.16806389921411255, 0.7862925506496172, -0.03775907305048159]"
1388,1890,"[0.8634551996583442, -0.48451051138126955, -0.41789780827545125, 0.5671798888748723, -0.09052189864139212]"
1389,1891,"[0.6944555788362087, -0.653271127878265, 0.3153471890632393, 0.5962709664475118, 0.08017279098678448]"
1390,1892,"[0.8330155830820927, -0.5153724210854793, -0.2687306169123849, 0.5737434528131505, -0.09156873036072148]"
1391,1893,"[-0.32178456433174724, 0.010986509340236286, -0.4456539936505715, -0.01677847511017442, -0.21359124509931274]"
1392,1894,"[-0.3476316035702777, -0.013864705649469726, -0.34910213065850193, -0.013406042511219384, -0.15632713656964356]"
1393,1896,"[-0.06037254528692043, 0.9070410905265519, -0.2910249375894295, 0.20133662289301002, -0.1602497774708758]"
1394,1901,"[0.7876024155087331, 0.4394102334725077, -0.20186142005913635, -0.20970061988082936, -0.0864724222225397]"
1395,1902,"[0.6595556918895001, -0.04543118953113164, -0.3609723399200532, -0.33474202320297747, -0.1527845965561741]"
1396,1903,"[0.586099081481391, -0.20991566184192734, -0.2186885861514631, -0.35913977340162334, -0.13907066419148495]"
1397,1906,"[0.7485573740465511, 0.242319141880641, -0.45710321301174434, -0.2711160959231015, -0.08298374065604042]"
1398,1907,"[0.5485491949079592, -0.21775678213352895, -0.06169004572626847, -0.339851450519916, -0.10911653806736872]"
1399,1908,"[0.570350104077655, -0.21830888572105425, -0.22018371523216132, -0.3544167419562126, -0.10975776215706613]"
1400,1909,"[0.8841689861506006, 0.7060648671872334, -0.3018955553700503, -0.158023149088358, -0.05249493169347977]"
1401,1910,"[0.6272275580603158, -0.1920598540072957, -0.47000902682888634, -0.3780035105303425, -0.14715776158055474]"
1402,1911,"[0.8701932783606467, 0.7282471483814197, 0.09920398318928896, -0.18807099778193115, 0.014468238673504177]"
1403,1912,"[0.6371394383013106, 0.20094263357619263, 0.4992143706458776, -0.2711266215014473, 0.12583491384673096]"
1404,1913,"[-0.3692161212305063, -0.03647347651164591, -0.23789314908256365, -0.008471623672849702, -0.1695127595180536]"
1405,1914,"[-0.4803195637695453, -0.14681059687804246, 0.23504047152674723, 0.010035671098878826, -0.038883735693288804]"
1406,1915,"[1.0789862358480953, 0.3686947251280611, -0.05715099367319248, 0.7945087088608264, 0.008840319445084708]"
1407,1917,"[1.1171765859327885, 0.4164772172335057, -0.1775359617223553, 0.7940948105304496, -0.06992747124348586]"
1408,1933,"[0.5577149861125684, -0.1904580394396633, 0.19216582577139996, -0.3882994593869098, 0.08196788633428738]"
1409,1934,"[-0.35610854101869654, -0.02201915720144699, -0.3173687380547238, -0.012295311008101788, -0.1376815701142128]"
1410,1936,"[0.5090628483300396, -0.2801577305112547, 0.28112671000047257, -0.4002121540217883, 0.17821319794487545]"
1411,1937,"[-0.1936803544874838, 0.7948692257890512, 0.25421421890492707, 0.2266031141405114, 0.11721455583794554]"
1412,1938,"[1.0994033138864923, 0.4015638880501175, -0.09424244049793971, 0.798364676655406, -0.051304977965303374]"
1413,1939,"[0.44520098730266844, -0.3507399479591908, 0.2587322536718961, -0.3132627442089283, 0.0358100043852118]"
1414,1940,"[-0.4846789138964869, -0.1528293060702574, 0.2814344490039558, 0.012690038969691207, -0.08929361805624438]"
1415,1942,"[0.6884209416485161, 0.18694145882265062, -0.03992017017014121, -0.29750707784001024, -0.009621571161977465]"
1416,1943,"[0.5448553517267876, -0.23528294763221447, -0.08695104110778122, -0.3460589180767398, -0.0892073534966676]"
1417,1944,"[0.5418663911136319, -0.17958182868484296, 0.020927238980843012, -0.32326241810209877, -0.014528117488734687]"
1418,1945,"[0.5066067582569549, -0.29822641228353713, 0.03261333217291521, -0.34940635326169805, -0.06966929780321086]"
1419,1946,"[0.8203569515011689, 0.6408564362413713, -0.054043268759520396, -0.14374570159601557, -0.08175042390136453]"
1420,1947,"[0.8406885814296936, 0.6425942146513175, -0.17445981443344918, -0.15447748532145172, -0.12114497783827777]"
1421,1948,"[0.8386750433648762, 0.678156624977199, -0.10966092844968657, -0.140260325901307, -0.06500562361188895]"
1422,1949,"[0.5643775542587761, -0.029446565087593322, 0.1672193222649141, -0.27551567374288605, 0.05300128987331108]"
1423,1950,"[-0.26799050660050033, 0.06732424118884044, -0.7226661504553824, -0.02906599422484346, -0.18102591369731894]"
1424,1951,"[0.7718024188884163, 0.598754827549488, 0.2072486397161478, -0.13567003936920488, 0.04302482312193476]"
1425,1952,"[0.8076326725169395, 0.6338178515111886, 0.06281722510463136, -0.14108552015299258, -0.015354579388435841]"
1426,1953,"[0.42958692987514746, -0.3418337438906609, 0.2675213670652786, -0.27322107730351314, -0.022166642072410564]"
1427,1954,"[0.5816253931304982, -0.23349113659584728, -0.15452998347715358, -0.4138867857931794, -0.021907880909234033]"
1428,1955,"[0.7138355851230866, 0.5423217117392521, 0.5881461588058899, -0.16908245305419287, 0.14942164659523188]"
1429,1956,"[0.7648369599698797, 0.2039965376248026, -0.5334172430558574, -0.33871640026017596, -0.04349828622857573]"
1430,1957,"[-0.475897034655257, -0.1407046600163751, 0.18797411756436172, 0.007342834128489451, 0.01225672467492705]"
1431,1958,"[0.769174292530484, 0.2060894344138779, -0.3466951057009269, -0.3476884201482346, -0.04305307728644219]"
1432,1959,"[0.7679986322266888, 0.303503320809543, -0.13129111121176518, -0.3057786280780459, -0.010448011141310755]"
1433,1960,"[0.8695059706153181, 0.6977617500279317, 0.03198327544724643, -0.20111700001489108, 0.017275181016112855]"
1434,1961,"[0.5826601423844431, -0.207327533161546, 0.04873311209503474, -0.4057357337096846, -0.05085729921996919]"
1435,1962,"[0.7963869611008298, -0.5520485183038119, -0.11845703781055003, 0.5792974240691675, -0.039847079758763906]"
1436,1964,"[0.7473545685556316, 0.5520193741390947, 0.43882639351261427, -0.19623329629830144, 0.2598044447721981]"
1437,1965,"[0.866513350630822, 0.7069786199799906, 0.054248113360877565, -0.19684685006462116, 0.05349513823718838]"
1438,1967,"[-0.36742803638045124, -0.03396236373813791, -0.25670232204919313, -0.009531513737883402, -0.14904972253420185]"
1439,1968,"[1.0900530068613403, 0.3685685809530453, -0.09910755824239804, 0.7903887074715804, -0.05820385374230589]"
1440,1969,"[0.627510025859004, -0.17634328413729944, -0.37484494580712874, -0.41111113362383017, -0.12493599721557956]"
1441,1973,"[-0.09084786761500341, 0.8938050756396062, -0.12857880157005971, 0.213314320592276, -0.11268820487558909]"
1442,1974,"[-0.07349798106560027, 0.9097209053571863, -0.19911950584821936, 0.21038230155448967, -0.14420462707824477]"
1443,1975,"[0.8026011937089754, 0.6639398776520211, 0.34784164223646524, -0.179409809400982, 0.17371513695093102]"
1444,1977,"[0.9000861752040649, 0.7228094708703067, -0.1499018027958554, -0.21185506387325873, 0.05022705027363987]"
1445,1978,"[0.7215248684573701, 0.06406513595076573, -0.3126780520796553, -0.3770240967144801, -0.07529151874680899]"
1446,1979,"[0.6358714360695553, 0.04347520004559764, 0.17115808554779902, -0.3370189577373659, 0.07796176068379389]"
1447,1981,"[0.9002390636903413, 0.759240587971089, -0.040238562412860224, -0.1937650490469853, 0.004016917151663303]"
1448,1982,"[0.8735706974138405, 0.7332554125488557, 0.06505419470214376, -0.18989251833658008, 0.051783511540207494]"
1449,1983,"[0.7827731396182924, 0.6368455508983861, 0.40444710865773015, -0.180247846095497, 0.21566722859879106]"
1450,1984,"[0.8065195264250888, 0.49427812408979277, 0.017863708475402362, -0.24869949324524374, 0.014242919966548532]"
1451,1990,"[0.7706184531512487, -0.5767514146769691, -0.02050929135302979, 0.5828193520695504, 0.014583131413609007]"
1452,1991,"[0.8827906932819867, -0.46438847335180344, -0.5019584521532475, 0.5640357056058984, -0.1064594642506947]"
1453,1992,"[0.6167953940593104, -0.20297073422015816, -0.2318541904681977, -0.4147350010695972, -0.20772023575915213]"
1454,1993,"[-0.050822099055463164, 0.9320489471677319, -0.33123193271961726, 0.20356688162425488, -0.10939053607859056]"
1455,1994,"[-0.07318772866618672, 0.904658634377463, -0.23095298224894548, 0.20645679223044422, -0.11294650894443602]"
1456,1995,"[-0.20890067997925418, 0.628336667798655, 0.05071310197505279, 0.16968026905329076, -0.00883598752543387]"
1457,1996,"[-0.19718937564692895, 0.7318190073317654, 0.14497123626538216, 0.20223089158006455, 0.09731642466002478]"
1458,1997,"[0.5659142991373358, -0.2109447829177807, -0.009020662822017028, -0.38498283479316975, -0.030005547213901966]"
1459,1998,"[0.7770834050087528, 0.6430308723012206, 0.3544963275886953, -0.1570116876845091, 0.12278160539448918]"
1460,1999,"[0.8903677621800997, 0.7462824970477339, -0.11516456524179426, -0.17708173421066875, -0.06984263472000682]"
1461,2000,"[0.5815925019326157, -0.161043800990658, -0.0290493609898131, -0.3753004392531606, 0.00889777697595643]"
1462,2001,"[0.5474398117785537, -0.2347060807202234, 0.040788400767095306, -0.3856485711803987, 0.02021953098342115]"
1463,2002,"[0.8555594370030412, 0.6833766520182017, -0.056699385563833526, -0.18573074538810871, 0.013224773759566355]"
1464,2004,"[0.6767776554230694, -0.05317582507106601, -0.38707398458716, -0.3839414707204919, -0.13146528641054123]"
1465,2005,"[0.5570577807428513, -0.22356316676282342, 0.004254791903243898, -0.38649238856951734, 0.007646953988881393]"
1466,2006,"[-0.27956321422644403, 0.05489563456340355, -0.6579863098935528, -0.026070276659387208, -0.19817866942689105]"
1467,2009,"[-0.1364302491927359, 0.8466942510774758, 0.05007432544284227, 0.21916554711485559, -0.039660792495590645]"
1468,2010,"[-0.08625459642912649, 0.8550385339301915, -0.2559904188008204, 0.19292195515832938, -0.10489951078050536]"
1469,2011,"[0.8664455966561969, 0.714030545961172, -0.08409921186349195, -0.18179657182215278, -0.04851331421409341]"
1470,2012,"[0.7258096464984282, 0.24759064830163055, -0.20980045330200223, -0.24039640256522515, -0.11490342349916881]"
1471,2013,"[0.5796007750614455, -0.22387160810766962, -0.21061823896609194, -0.34794785503883024, -0.1742812504122293]"
1472,2014,"[0.525577292802413, -0.2733330127450895, -0.049659810378128826, -0.3437279344134384, 0.026903374940661837]"
1473,2015,"[0.5100817470315994, -0.3158857573473709, 0.04048687424965927, -0.35931943457131493, -0.06046453054879957]"
1474,2016,"[0.7286818655103615, 0.5279899881759255, 0.4631822175181487, -0.1734556966691211, 0.07872450922559351]"
1475,2017,"[0.6245319083436878, -0.11937125238668471, -0.3122456547149446, -0.3333032778504854, -0.14138133785577417]"
1476,2018,"[0.8295968230836798, 0.6658401686769136, 0.08194651308475522, -0.17703120011755777, 0.02794405707105206]"
1477,2019,"[0.7481417446977409, 0.5713715588542508, 0.41882303048844066, -0.1675997140523324, 0.08596924695967315]"
1478,2020,"[0.723238336186645, 0.3536483242578675, 0.12183475662127176, -0.244365954263032, 0.03855354393956454]"
1479,2021,"[-0.3748673797911958, -0.04062483931553246, -0.23570261186894356, -0.00901212012226292, -0.11870530405162778]"
1480,2022,"[-0.03952500029396499, 0.9460126273676455, -0.3830243866068654, 0.20204262095085895, -0.10507861441369198]"
1481,2023,"[0.8884564164084802, -0.4608815361162189, -0.5057310834189561, 0.5642854072298791, -0.1572923223146483]"
1482,2026,"[0.9768842829135471, -0.12135107794250251, -0.39583661904082396, 0.6517854302401695, -0.09247304884353465]"
1483,2027,"[0.7501743817200203, -0.5979189302909607, 0.07786994065355379, 0.5869686511159754, 0.015256949423330498]"
1484,2028,"[0.8511582333420908, -0.498004180152615, -0.34584849855300215, 0.5705722846194274, -0.11572153601002307]"
1485,2029,"[-0.3339854423896947, 0.2280874868190192, 0.0435847292613158, 0.07788213448468279, -0.03584836359674091]"
1486,2030,"[0.8616766381626768, 0.5735117487674435, -0.03900327431546075, -0.3119479444639256, -0.07247415945619351]"
1487,2033,"[-0.039990661336141854, 0.9461604536260826, -0.3739596126144562, 0.20286428860627004, -0.11444834085340859]"
1488,2034,"[0.7835073443017173, 0.3903616913942672, -0.21664350260280804, -0.26693251177235416, 0.017290346134082975]"
1489,2035,"[-0.3771154452382576, -0.04381043468138338, -0.21220294685561963, -0.007698974554715985, -0.1442887564756686]"
1490,2036,"[-0.230955385996287, 0.675001263519772, 0.2954511232733571, 0.2027474171052486, 0.030910491503623433]"
1491,2037,"[-0.17767212635845747, 0.8025225410366684, 0.24359103215870492, 0.2267619568158786, -0.03560873676058887]"
1492,2038,"[0.7445851034824933, -0.6019931479986661, 0.07733273014801222, 0.58621451784381, 0.07036454353649627]"
1493,2039,"[0.7705882098060232, 0.5558261107171419, 0.12649173047834644, -0.13927513774390746, -0.02095853506716043]"
1494,2040,"[0.5764466492867735, -0.24063683871344374, -0.09939335133813076, -0.4107305718304523, -0.08181458278781349]"
1495,2041,"[0.6247906418721244, -0.1801037595317557, -0.3459352042889015, -0.40945939222881017, -0.1563518170482871]"
