,Drug,ECFP_PCA
55,DB00214,"[1.1964312289718217, -0.5199831465837749, -0.25332267479277454, 0.4696862549433087, 0.9604879974080007]"
56,DB02047,"[0.18369923289941642, -1.1503678427546717, 0.6588127895865745, 0.09193652364396104, -0.48916766993436606]"
57,DB01075,"[0.2615206055268859, -1.2731702276188068, -0.1851230776567788, -0.09930890239225715, -0.3258420038973365]"
58,DB00402,"[0.9521141046703052, 1.0724695091124397, -0.5635805276136897, -0.40813683885232555, 0.15845499860331533]"
59,DB00795,"[1.1029637811085995, -0.43849463724113047, -0.5964009044334314, 0.395553475695016, 0.07872705215497884]"
60,DB00500,"[0.08270580631497716, -0.6535190385216639, 0.2195967923315452, -0.02930802602808508, 0.2860316226284875]"
61,DB06738,"[0.5583676540212317, 0.10020597868285035, -0.08752158641459341, -1.1507404921028803, 0.053578847692720026]"
62,DB06725,"[1.1690214574185471, 0.05650243978593908, -0.9769861578099056, 0.6215509836100626, 0.09333978695983786]"
63,DB00936,"[0.3476411222888905, -1.2526885863867538, 0.04028081425507345, -0.3499638554790314, -0.6818803099791975]"
64,DB01221,"[0.6878703892525867, -0.13324902250424647, -0.7365973269096551, -1.1715918647723573, -0.2733096498761854]"
65,DB00788,"[-0.09593701441089914, -0.6535214985245003, 0.37549756503939574, 0.17143882108160627, 1.550027492479143]"
66,DB03752,"[-0.28057840053058153, -0.9747723027139698, 0.618599584296987, 0.11451679931503211, 0.08635852544084531]"
67,DB01397,"[0.11630893719408994, -1.2673738976565103, -0.2574933117279509, -0.27541577465418915, -0.377151470612755]"
68,DB03667,"[0.31537717295613993, -0.7369810383838349, 0.2861209389065373, 0.24510307213907226, 0.39432007197010965]"
69,DB01132,"[0.020126595695605338, 0.25807180916065847, -0.4378060425331624, -0.1919922933972923, 0.870231032512217]"
70,DB08814,"[0.1994807643757481, -0.7003691503525277, 0.08617429595433883, -0.3372596928225479, 1.0120332726038912]"
71,DB00469,"[0.8152152173699696, -0.045474181519928804, -0.6920404076641065, 0.536980275153951, -0.1693346796685442]"
72,DB00586,"[0.7804297667586707, -1.0167724532622795, 0.20057579018819466, 0.3052524691186092, -0.42929384511566465]"
73,DB01050,"[-0.2911634182744206, -1.0108034557561358, 1.224390858265643, 0.294153159773029, -0.1600580611834042]"
74,DB00216,"[1.5082319365779568, 0.699732489055957, 0.014305677971299682, -0.7755972575018769, -0.929515284831112]"
75,DB00829,"[1.3725236583871803, -0.15995484945857394, -1.1629025341234704, -0.5921983861522437, -0.8217218402717487]"
76,DB01041,"[0.30664454736385344, 0.4169367032065783, -0.7633421140075133, -1.6228443491471773, -1.3879953056922432]"
78,DB00812,"[0.19898435034130027, -0.3054105209406558, 0.183269849098496, -0.7353768454889121, -0.9804902776010169]"
79,DB00963,"[0.16645971653626473, -1.0394970976817959, 0.30595294680715696, 0.45009735653104516, -0.33417857758798986]"
80,DB01399,"[0.5072427204061876, -0.980880948038651, 0.18379473870652563, -0.2047730264046545, -0.14683354939712928]"
81,DB07981,"[0.8351682722318619, -0.06682898256357177, 0.4180773715181419, 0.4812367988290472, 2.1683852240453527]"
82,DB01355,"[-0.5620385283169473, 0.09656473484388503, -0.5741630974804807, -1.5647785562529781, -0.47000485304990103]"
83,DB04557,"[-1.1588977480224743, -1.4246637229978107, 1.1453581538515911, -0.16181402608364073, 0.34064662808939145]"
84,DB00412,"[0.6883331453285321, 0.26727249522201196, -0.5825650857174346, -0.17905637971114036, 0.3300692982484766]"
85,DB01435,"[0.5846025126967344, -0.6184953407097115, -0.6803131198602862, -0.4946057975195232, -0.6424907661024015]"
86,DB01837,"[-1.4273175297095233, -1.2380343262012017, 1.2590116123705086, 0.5230144996726426, 0.1622616438024581]"
87,DB06802,"[0.43943156105207304, -1.0187103149937724, 0.354233398829486, 0.5326787479502382, -0.6719539104322797]"
88,DB00744,"[0.5710464057241234, -0.8761138897255238, 0.11027148077569457, 0.22923682268361276, 0.024515127610437393]"
89,DB00991,"[0.49728761399292115, -0.9452256261463918, 0.06660082067507521, 0.48940546154895587, -0.7782772407557017]"
90,DB00154,"[-1.170362709300198, -1.4198878868247957, 1.1950122182080878, -0.16274347966567174, 0.3454063082717622]"
91,DB00350,"[-0.2668276961788067, 0.0841641090900868, -1.3456062624167233, -0.2801409609806848, -0.7732384370937648]"
92,DB01029,"[0.984193505482716, 0.46544989169771317, -0.6570650544959701, -0.5334226057197045, -0.8126731640422702]"
93,DB00159,"[-1.0666051359906141, -1.3869902458923646, 0.9884527683551217, -0.21486073044863213, 0.27012130670754053]"
94,DB01181,"[-0.5933408741503372, -0.3124648586704121, 0.08893560080636315, -0.6188927936334527, -0.9116295946498062]"
95,DB01283,"[0.9463232275003151, -0.8738246020890355, -0.05746770239466378, 0.10851529282256613, 0.6751059296726483]"
96,DB00327,"[-0.42168262602049017, 1.3601317855247044, -0.15004436141772548, -1.7271758636024546, -0.3028073578196647]"
97,DB02110,"[-0.21199962080096313, -0.7112990866731821, 0.8861643591627186, -0.06795242810212107, 0.41182830082281824]"
98,DB00605,"[0.007912558208487772, -0.8738164830342937, 0.15052929996128703, -0.18271950283981894, 0.5983076031679762]"
99,DB07984,"[0.8351682722318619, -0.06682898256357177, 0.4180773715181419, 0.4812367988290472, 2.1683852240453527]"
100,DB00540,"[0.43729743286741435, -0.6780083255555517, -0.49482031578226865, -0.6827339660512264, -0.29648724487762285]"
101,DB00582,"[0.06931940356118563, -0.045254719608826766, -0.9057204546625249, 0.8405586552064322, 0.26155566826535476]"
102,DB00711,"[-0.8303765035954626, -0.3208765844743915, 0.49710828785049244, -0.7417081875944215, -0.0832415969701823]"
103,DB01136,"[0.7765544837678836, -0.28651099248917733, -0.13034809232452502, 0.6808335966013788, 0.889710922559381]"
104,DB02379,"[-2.5184447362908235, -0.3081005061710235, -0.18713651735976097, 0.02505529942323406, -0.7566206730586857]"
105,DB00784,"[0.7206196020212235, -0.8175691239916185, 0.14956126212334855, -0.05378421259543294, 0.01364474246403038]"
106,DB00861,"[0.29729183689540467, -0.9163952087862888, -0.45393251408874397, -0.2430708270001176, 0.08254988284306111]"
107,DB02773,"[0.3144423881566915, -0.7247555809070232, 0.39366711073124083, 0.3102145817760874, 1.17177829692289]"
108,DB00035,"[2.139945503289408, 1.6961439548295894, 3.0065515443484503, -0.07298299498278407, -1.868418815582164]"
109,DB02266,"[1.0721691925429762, -0.8815215299907275, -0.17562795906432765, 0.18903297955281434, 0.017129099484285874]"
110,DB00870,"[0.02075967167623517, -1.033461997057448, 0.6164457780103344, 0.14028389792189896, -0.13744210618429523]"
111,DB00244,"[-0.054777531694610845, -1.01893455359858, -0.1658730007565142, -0.048122517598363106, -0.06609324065563194]"
112,DB04817,"[0.456904465490683, -0.38971859874970505, -0.41481071028543276, -0.3038515002565707, -0.5712381236502966]"
114,DB00554,"[0.9011976189545431, -0.14778934946367797, -0.7149156068476683, 0.41591529150265405, -0.21155754676879213]"
115,DB00425,"[0.07769140585900886, -0.4510597092893287, -0.4967300699139437, 0.14733924373202878, 0.26832420390670825]"
116,DB00672,"[-0.03515289488048748, -0.8184610138165825, 0.1378426032058757, 0.35983935296724534, 0.8260771893200657]"
117,DB01014,"[0.23295810475854234, -0.6861331836128222, 0.5683365301956536, 0.35054210186543405, 0.3362602856566312]"
118,DB00461,"[0.17743101324297053, -0.5351345360403262, 0.17083741919682233, 0.13062832735934427, 1.7267557096420363]"
119,DB07983,"[0.411979417296091, -0.4151544126751843, 0.19319550599484886, 0.08357861863581158, 1.710003744353669]"
120,DB00573,"[0.37490745522475466, -0.7944219760167965, 0.5330934510748039, 0.20766339346958024, 0.37656814001863065]"
121,DB00749,"[0.29368795519416374, -0.06139932454810663, 0.34341743511377404, -0.6153179514106135, -0.047483825409437776]"
122,DB00188,"[1.3589028509236043, -0.48964355773966567, 1.434653607216928, 1.3249223252773545, -0.46067438979248865]"
123,DB00939,"[0.9166476467244032, -0.7829575178224107, -0.00640500027492196, -0.0057303256242702575, 0.08808450455013951]"
124,DB07138,"[0.712412829740995, 0.057145197504593924, -1.4371586668967933, 0.5655514078638056, -0.28579305993923937]"
125,DB08352,"[1.103604347836638, -0.18966412175738984, -1.3287678980956488, 0.2800688383827395, -0.035515854220081015]"
126,DB08424,"[0.5790533703546225, 0.30445473932665984, -0.3727347083808967, 1.3956263934779403, 0.5346922134305838]"
127,DB08095,"[1.1857113609451473, 0.07669505118776651, -0.19250000292150654, 0.8535795692806584, 1.5748346569570266]"
128,DB08097,"[0.8883920937989414, 0.08904569332375326, -1.180277345521272, 0.5168883915709511, 0.14870433254491117]"
129,DB01807,"[1.3255016026899864, -0.4954135970883543, -0.45198125377931564, 0.5506510410403096, 0.18601008019612233]"
130,DB07829,"[0.4968035702388017, -0.8512548074188846, -1.748790362374602, 0.18455769983488549, -0.6455595166444313]"
131,DB08423,"[0.5678104735863446, 1.1465477360419531, -0.6465811170093136, 0.16753338091075684, 0.11751597388174481]"
132,DB02352,"[0.5628393237054617, -0.7995019226613498, -0.818840811878444, 0.9532226529842408, -0.7793172773369978]"
133,DB01948,"[0.752517435127652, 0.8851735659340362, -1.3446016311565245, -1.317835028059293, -0.760317732776841]"
134,DB07607,"[0.7655693957161434, -0.5564431710090194, -1.5993009952133623, 0.09594273019610967, -0.14388436131933804]"
135,DB08521,"[0.1454848417524028, -0.5834712719207004, -1.6138028391473718, -0.006583447163309764, -0.0418588662925931]"
136,DB04632,"[1.2085837862281572, 1.0128779946560111, -0.32826850614776054, -0.2618507637400056, 0.13946404118846278]"
137,DB07835,"[0.0469921667206255, 0.6158815244285938, 0.37284418392692237, -0.011905594589115992, 0.9791386379470243]"
138,DB08349,"[0.5488613913102914, 1.5000092693777283, -0.21556867592323464, 0.2829162877757714, 0.5514321961633838]"
139,DB01761,"[1.5345687733468936, 0.8146724956912765, -0.9427093106400384, 0.023221984086521253, -0.7177620316806297]"
140,DB04338,"[-0.03364758923354122, 0.9336278843120017, -1.943336078070908, 0.30032331637129067, -0.9546178640841494]"
141,DB01988,"[1.5156825953998823, 0.3503423873407148, -0.9434817535299846, -0.16090324585237994, -1.4780600192263922]"
142,DB04797,"[0.06608010583217074, -0.1969397201217, -1.1881532257996537, 0.19705302972690913, -0.2391465739846664]"
143,DB05412,"[0.8276392145026615, 0.5767927754647596, -0.15440905283010112, -0.711702441778364, 0.3672540830071568]"
144,DB08093,"[0.6745671928046921, -0.49760084522975123, -1.3318972849207624, 1.007398998854325, -0.39667028937429344]"
145,DB07942,"[0.6641117110248389, -0.624379700351122, -1.9581871316968558, 0.3936866248872258, -0.3017135842974995]"
146,DB01953,"[0.8241285467582368, -1.056489688826772, -1.0232102823103193, 0.18101136228424763, -1.1158979033546987]"
147,DB07307,"[1.0711338804914066, 0.6029766764796657, -0.30808803443944044, 0.15459045756081197, 0.21560567356866953]"
148,DB03044,"[1.2762226288635388, 1.141684520147795, -0.03078780146736931, 0.5360748628612678, 0.6387812576590665]"
149,DB07459,"[0.9238621015560374, -0.5842378957096666, 0.06171747515119629, 1.0575034649111437, 0.3168574354979817]"
150,DB02277,"[0.6774595921442145, -0.3128851219092986, -0.7800901995771274, 0.4124555883497744, 0.7714456168530471]"
151,DB08068,"[1.198408816368169, 1.2693053399814775, -0.5889538191945157, 0.4175463439144578, 0.6650174134872021]"
152,DB08730,"[1.1452441441338217, 0.6506749831796886, -0.4496946163263013, 0.38324813324862034, 0.12108091785983341]"
153,DB02984,"[0.7397363315696671, -0.2072115239351728, -1.5145641574239874, 0.8387165417998493, 1.389090851948334]"
154,DB07834,"[0.1302583495298429, 0.8004607345709378, 0.12299313401794018, 0.24861272799938894, 0.9298355977340901]"
155,DB03980,"[0.0989930986163586, 0.7453802439598421, -1.6401024652988831, 0.3021903908926806, -0.8495741669904945]"
156,DB08092,"[0.666570854782098, 0.44835218154428713, -0.5846930686688582, 0.031336825766264585, 0.22944361439477048]"
157,DB06991,"[0.6175582891284637, -0.17201178648693816, 0.25801424141716023, 0.6182617317883784, 1.2984715461362801]"
158,DB02195,"[0.5109714413868248, -0.3885939284332918, -1.7526251880561825, 0.28122338555002324, -0.7553247144639652]"
159,DB07941,"[0.540445514987605, 0.2526717240193693, -0.1673909168532887, 0.5774198880876326, 1.398284712633772]"
160,DB08351,"[0.7919117807186971, 1.6252938204317788, -0.412626394276646, 0.210969456298559, 0.4737113779056608]"
161,DB06882,"[1.1387706520296972, -0.022127153080430388, -0.29136120462874565, 1.2533915771339956, 0.07666818465792205]"
162,DB08242,"[0.9262422833664438, 0.2658374106477523, -0.4202532803985219, 1.4598688015888241, 0.22119604955672767]"
163,DB07832,"[0.6693515277733445, -0.036733350862133446, -1.438899444057282, 0.8178782426164394, 0.9151393263364407]"
