,Drug,ECFP_PCA
546,DB00358,"[0.7606108139814057, 0.39000888837442954, -0.8235142808093369, -0.5061501219758754, -0.10435309475946321]"
547,DB01062,"[0.2892083872878539, 0.23603508535609952, 0.8311417456853105, -0.5625619315921363, -0.29444122426751557]"
548,DB00738,"[-0.31042189269132575, -0.8287793436212603, -0.3380716659242438, 0.452563967696174, 0.5481323235921444]"
549,DB00342,"[0.5116606641523557, 0.3828361228407995, 0.6423504232975376, -0.704488346667406, -1.2270898318651609]"
550,DB04946,"[0.45459634998371296, 1.720842379436181, -0.28921734876357263, -0.21095782065839697, 1.3437482651459658]"
551,DB06702,"[0.8735111491361907, -0.6956321023384835, 1.0482249407321558, 0.532440454809773, 0.30228452821615454]"
552,DB00623,"[1.0495924620911288, 0.09078486810712262, -0.486998443086558, -0.758458691742854, -1.252907500904221]"
553,DB06144,"[0.6355726541252854, 1.085260084618349, -1.1900298202871167, -1.2533681110847013, -0.5934545235816883]"
554,DB00336,"[-0.4071048426221098, -0.733545871990349, -0.03583928615949659, 0.279144230542168, 0.1477336314725704]"
555,DB01128,"[0.4246079012981012, -0.05812890271182711, -0.12580189374695416, 0.19104045410562526, 1.3001584876871213]"
556,DB00625,"[-0.20568402401937394, 0.6366578538434586, -1.1603751799651347, -1.4171392314100568, -0.3332891893339394]"
557,DB00706,"[1.1514094687697454, -0.39455026311385777, 0.27270107592859966, 0.8836676912590691, 1.3484695948360441]"
558,DB01195,"[0.43399016366407406, 0.7365865104981302, 0.11819526135817007, 0.08441481896564504, 1.2249818269821544]"
559,DB01058,"[0.5752053036236482, 0.8556401666725204, 0.2632506239227034, -1.520359952574954, -1.3141582748106104]"
560,DB00590,"[1.0224877044806213, 1.400104952403831, -0.6782392452363468, -0.07909099857145684, 0.5062531570515355]"
561,DB00589,"[0.5372499891819786, 0.8532945957225591, 0.5243182679616967, -0.4526922514297769, -0.23999024993926124]"
562,DB01274,"[0.57821602456569, -0.5761479348236327, 0.5391342144686584, 0.3424301973181098, 1.8253288423936718]"
563,DB09068,"[0.6714538084185772, -0.0885901161855073, -0.7991432753641516, -0.7052878006029916, -0.8020273407534376]"
564,DB00835,"[0.5190731518263701, -0.9759036734383935, -0.6945655963197067, 0.2905818067001354, -0.7112522377266116]"
565,DB00317,"[1.0832613690365531, 0.9939211713867782, -1.3802401446088266, 0.5325767486394454, 1.3942296488730959]"
566,DB00637,"[1.5697279356260572, 1.2902804593966817, -0.732766405303228, -0.29444175735818423, 0.027495242955600213]"
567,DB01076,"[1.2187492019291382, -0.31288925096748194, 1.074175055676546, 0.6580344620326642, -0.2896026192596751]"
568,DB00468,"[0.5662564768683371, 1.1341051124436068, -0.4584435391724294, -0.5593665024854002, 1.3665369665163762]"
569,DB01206,"[-0.9366556539484151, 0.04030794140190806, 0.5843972747724507, -0.5686749422754058, -0.23755460368307485]"
570,DB01601,"[1.5385009342281641, 0.7782795316204789, 1.5419771551032595, 0.5155667045964569, -0.4530309312891734]"
571,DB00276,"[1.2264480797816113, -0.028114614917119713, -1.0196476123976577, 0.27257265630938254, 1.0018959373977077]"
572,DB00455,"[1.0677693014202714, 0.5368869112139225, -0.5202166359131534, 0.04059434091422017, 0.47849991898016464]"
573,DB01100,"[0.7989825992886617, 0.6679043598010461, 0.12328090459715169, -0.8883751134411365, -1.7928683225405095]"
574,DB00924,"[0.15110791520324648, -1.11923796165044, -0.8019916536546468, -0.42141597309470846, -0.4020006319143744]"
575,DB00705,"[1.2382144272017224, 0.8670529616621706, -0.5179891058025555, 0.5860556559685167, 0.12195115605932437]"
576,DB04841,"[0.7927944496562064, -0.5726076599410714, -0.3794913813818991, -0.5807311651107131, -1.337063856793833]"
577,DB00950,"[0.5963855098975065, 0.52185109728569, 1.2148170267775387, -0.6136044407779181, -0.9668157237880329]"
578,DB00661,"[0.3610980203055099, -0.4910905546162132, -0.1697897340482719, -0.2051055285262336, 1.4369802122130992]"
579,DB00268,"[0.13560121612703202, -0.2854614512340264, -0.2460108105427598, -1.0750389447978854, -0.1775980911602525]"
580,DB01472,"[0.09110671464607947, -0.8062991579140866, 0.027383783181049615, 0.450864308218909, 0.8574624906043113]"
581,DB00622,"[1.0207915613839575, -0.008610834661602701, 0.5306946943975288, -0.18871315963080873, 0.6996247530613439]"
582,DB01201,"[-0.623766731979338, 2.5145614841913395, 0.11123475480727942, -1.7043022412697948, 0.40223918987352303]"
583,DB01118,"[0.32295676161867537, -0.29787872808794585, 0.17331234482498267, 0.5471995532288005, 0.8047168805094287]"
584,DB01466,"[-0.5125660874004636, 1.4503224302420645, -0.3224745954786946, -0.8758489654886338, 0.44264605912716515]"
585,DB01191,"[0.7331525270973188, -1.0397504429642739, 0.01998499115186082, 0.18081537557646665, 0.19745992421743558]"
587,DB00675,"[0.3565344780304739, -0.7818456149820598, -0.23190865172468253, 0.15074355172524823, 0.5075890715609932]"
588,DB00627,"[0.46420098664305853, -0.968676768721365, -0.43778861098905775, 0.07516846669999429, -0.45735510060173484]"
589,DB08899,"[-0.1944139220522783, 0.714067235830439, -0.5313326502013259, -0.12229627606557379, 0.8950603583500117]"
590,DB01182,"[0.7298959600653262, -0.6907791938780122, 1.2749766436436782, 0.8939066904229849, 0.6534102693711548]"
591,DB00211,"[0.3591667741366091, -0.42468838375980117, 0.8280302575474564, 0.6229522229600093, 2.063469319031899]"
592,DB01131,"[0.30447563693008395, -0.8978140085141253, 0.09755529389255185, 0.15886681131621652, 0.303447199601659]"
593,DB06770,"[0.1948743661381214, -1.4056435493874737, -0.06609016226940216, -0.036035959747489014, -1.182703826813476]"
594,DB00175,"[-0.8304103261561989, 0.5265969039899798, 1.8387696004143945, -0.10745268122811084, 0.2815507648203906]"
595,DB00318,"[-0.43330596079098427, 1.39622342618929, -0.5491680345170965, -1.29882941068938, 0.7341907127458192]"
596,DB00427,"[0.8071822925052287, 0.09173840743385904, -0.8045066532538008, -0.3059791717790329, -0.6690212133079481]"
597,DB00889,"[0.7153379065821972, 0.9760480549553812, 0.4616609897280418, -0.21207830331415647, -0.6178949297904206]"
598,DB00379,"[-0.008545536249900374, -0.8615087295519761, -0.3926779777121327, 0.44665712199183194, 0.2178815509139428]"
599,DB00477,"[1.0896937815094074, -0.44635057337455747, -0.968208198724428, -0.5248138272445878, -0.6011019839481404]"
600,DB01197,"[-0.5117196034004984, 0.2778833330469146, 1.7884556600479777, -0.8114957496851537, -0.9093311346669349]"
601,DB00933,"[0.9155596283168685, 0.8435953105677638, -0.3525118155729296, -1.1034169901813624, -0.97442416101779]"
602,DB01551,"[-0.4444455804113943, 1.7601668715582495, -0.41810952716892297, -1.2746062077446982, 0.6444560898329035]"
603,DB04844,"[-0.18344517179039221, 0.8356081349484538, 0.22929287343125662, -1.3087125777299888, 0.7474912830026235]"
604,DB00570,"[1.2833915604598731, 1.9047853393544298, 0.8041311227940606, -0.7636950284420931, 1.1867744117618155]"
605,DB00091,"[-0.8126556181710621, 0.9258467256818882, 1.2160164617421632, -1.241954130914023, -0.09692749085672626]"
606,DB01218,"[0.1680435570091248, -0.8669332209669812, -0.24815651894311902, 0.06707462388923671, 0.9083244153242983]"
607,DB01267,"[0.15414656714412361, 1.8042862011860483, -0.760444541929168, -0.8582163731609106, -0.2156041317256589]"
608,DB01224,"[0.7407491144516453, 0.12138768764759728, -0.9031162636949244, -0.4718190348082448, -1.0215360554692743]"
609,DB00810,"[0.6154215201749762, 0.24246343339191317, -0.1273841899039319, -0.9986251474026799, -1.4874407860670151]"
610,DB00608,"[0.6626095881688852, -0.5502882886427257, -0.8429899804522661, 0.6102125499093783, 0.7624701143217842]"
611,DB00568,"[0.643656886766841, -0.7095708528844442, -0.1771658259080365, -0.5870698064520359, -1.3981057334885507]"
612,DB00496,"[1.0726557667770982, 0.689839509883738, 0.7464457602082794, -0.6718478286997932, -0.9288988739214596]"
613,DB00238,"[0.6507914550920634, 0.9347291284400665, -1.4126257049378608, -1.1944557764219375, -0.6440593225756902]"
614,DB00296,"[0.5678402191788233, 0.8377387622887965, 0.7779343705159546, -0.7413862646205426, -0.2723512694677375]"
615,DB00751,"[0.31618281090666867, 0.017114159575939914, -1.0147762530000282, -0.3553162028181936, -1.458497882892002]"
616,DB06726,"[0.4502411592550965, -0.6134238969844021, 0.12744809995725334, 0.45339278429347285, 0.5931480295369156]"
617,DB00641,"[-1.2620021560252999, 1.1362791158257441, 0.6563903771141952, -0.9379738180994324, 0.5610294847685416]"
618,DB00246,"[1.3200439989204236, 0.5786886541859787, -1.09182188654547, -1.0502194574957486, -1.157079955295781]"
619,DB00264,"[0.06722613820767603, -0.4775904557575899, 0.40756143102284387, 0.5765931965672927, 1.4046125781355374]"
620,DB01110,"[0.4231849331725439, -0.4122049067858089, -1.367924288598464, 0.5133451655647907, 0.09555847282870227]"
621,DB00439,"[0.4532634442280924, -0.442906628383349, 0.5402292618234439, 0.4992621572531188, 0.9296777976324226]"
622,DB00502,"[0.3490147448811181, 0.2077446476843954, -0.11115015424905064, -0.9777687439013745, -0.25436545541029365]"
623,DB09076,"[0.44736649535790096, -0.3696875124460162, 0.23734073644798415, -0.7212638975401896, -0.7177267655678884]"
624,DB00592,"[-1.2845167315191908, -1.2218560200673205, -0.8568325978356963, -0.8610300914777443, -0.7010326992398743]"
625,DB00224,"[1.544864648088592, 1.0025501375359283, 1.4446783905955045, 0.042515878623232105, -0.9861113611583285]"
626,DB00701,"[0.9671806990247139, 0.4611176456393638, 1.7271606008836642, 0.2118912768688691, -0.060934359233394]"
627,DB01388,"[0.7404775784268152, 1.152192796990413, -0.10549740000475845, -0.17099967849598352, 0.8251292427582497]"
628,DB01037,"[0.5937680970093745, -1.3526640780039354, 0.3527109220537879, -0.13947773011289774, -0.6660415229725124]"
629,DB06697,"[-1.7594361816136048, 0.5106482476258888, -0.33263887392819985, -1.556628671813881, 0.39392544175383876]"
630,DB00932,"[1.2800381842624373, 0.25152402306590615, 0.07696732766420118, 0.23237713670838006, 0.09210802586761116]"
631,DB01166,"[0.28518612745511346, 1.224419427204479, -0.7428889548415514, -1.0187677475899821, 0.09281323936591548]"
632,DB00497,"[-0.1101097818178598, 1.3706459936375264, 0.11008894151978103, -1.586118473102896, 0.6066919822464315]"
633,DB00333,"[0.21451534990365564, -1.092398983353896, 0.870298065608374, 0.05225833932495792, -0.1324061937496441]"
634,DB00377,"[0.46451097932517743, 0.780720415496423, -0.4612963971519411, -1.4652607976497776, -1.3338535509892784]"
635,DB01186,"[0.21521719559561514, 0.42023498478029636, -0.3611122492829388, -1.0450582478549675, -0.7650953088213448]"
636,DB00866,"[0.4830429405881484, -0.6258291629622134, 0.4385056693829286, 0.40381590567987347, 0.4723757341864214]"
637,DB01403,"[0.9183799260059853, -0.3346643871809623, -0.49834444845093473, -0.20659658986202847, 0.6453105591136639]"
638,DB06708,"[0.1164724593712237, -0.9170711180791087, -0.3093694717079222, -0.24935857720810267, 0.8712960724078362]"
639,DB09048,"[1.2352547564633567, 0.4279997018684695, -0.8157871073828353, -0.0627776686715924, -0.22599915940402243]"
640,DB06684,"[0.44196722305593844, 0.8166761294271969, -0.061396494566796626, 0.04613675699126686, -0.49277217049594213]"
641,DB04861,"[-0.2895633226867594, 0.23912928996947208, -0.12448079249396624, -0.5942223164904433, -0.012103479758895079]"
642,DB01409,"[-0.3938763735720714, 0.4349451181994349, -0.05561747152290362, -0.47197771767788743, 0.24156603045418684]"
643,DB01235,"[0.004224019660635755, -1.2350088874215426, 1.1061135299840732, 0.7127974298126597, -0.30524054640270126]"
644,DB00356,"[-0.15738180945000022, -0.6582543671314054, -1.3631665205485244, -0.41405671980854536, -0.23056000572784702]"
645,DB00203,"[0.5550012718905779, 1.0973399924004599, -1.4446343453030215, -0.0642277641491642, 0.6221019375010315]"
646,DB09039,"[0.2103488212130096, 0.21352558200708682, 1.3100997432389383, -0.24968324911221612, 0.49140463063697193]"
647,DB00997,"[-0.3383759032005781, 1.5923997218753403, 0.060221948465748305, -0.8844139647100957, 0.8940982690693033]"
648,DB01177,"[-0.24774863131234592, 1.2099624559376696, 0.4131050968601465, -0.9343882749463824, 0.04306537395802413]"
649,DB01129,"[0.5916409959931576, -0.10749585396592312, -1.1247972168033218, 0.7055982727180726, 0.5645841313594677]"
650,DB00792,"[0.7112927082718798, -1.06817370761161, -0.7412303335769806, 0.19136095366607797, -0.7801745749930434]"
651,DB00763,"[-0.5936229186593537, -0.8309670813958742, -1.0175980981690578, -0.6077444590547252, -0.4537283036432152]"
652,DB01012,"[1.406480587161595, -0.8118124519333322, -0.3467511526189406, 0.5876294376713522, -0.01857699719630017]"
653,DB00205,"[-0.006436619836395419, -0.7032861262490598, -1.3754580835483572, 0.4560748003656907, 0.002490943292787547]"
654,DB01167,"[0.2405703229631427, 1.950338417382784, -0.7520656003801566, -0.4103217270698226, 0.9370883571018374]"
655,DB08893,"[1.1171720358082489, -0.8067796324610026, 0.6730873795939113, 1.377912333813685, -0.36636644097222737]"
656,DB09128,"[1.1416465295819906, 0.6859788390486644, -0.6648592770891518, -0.41810008937886967, 0.005428487570289882]"
657,DB00396,"[-1.2317211433218718, 0.8375332198789137, 0.26514829890314306, -2.3077223847561394, 0.5986800656993025]"
658,DB00567,"[0.6610758711327761, 0.548593571176985, 0.9436153618079764, -0.36006874046079557, -0.8477812986274733]"
659,DB01036,"[0.6320548030077167, -1.1083101960732973, 0.14719461696095604, -0.07957858937790982, -0.19014929102630596]"
660,DB00277,"[-0.5615822401698043, -0.15616363550072346, -1.3358097968382783, -0.05946681137703043, -0.45541418559607977]"
661,DB01580,"[0.3360778467868738, -0.6659124145978527, 0.25894804356769413, 0.332862083076242, 0.48322773559755344]"
662,DB00209,"[0.3020797576282336, 0.07129256817966266, 0.4645957018852438, -0.8686546315877173, -0.4794361252221157]"
663,DB00943,"[-0.6850097646629524, 1.1910802975435855, -0.5801474593651339, 0.03577439425916657, -1.176501794804057]"
664,DB09053,"[0.6636238491800922, 1.4069519154215546, 0.13165366860148778, 0.6345001383842154, -0.9757339402259271]"
665,DB01069,"[0.4229573143042179, -0.7240415270171251, -0.39757834676315745, -0.15820564500813444, -0.6323746928717799]"
666,DB01171,"[0.45218622685169835, 0.26053452773544056, 0.1369156252268409, -0.17294342654587447, -0.1884138992226666]"
667,DB08868,"[-0.4123154319425686, -1.0443702321065456, 0.2398831338338562, 0.053260535758417105, 0.11325365149416834]"
668,DB08901,"[1.5889368690231431, 0.9306391255674601, -0.32176103403649936, 0.26905307152678387, 0.5466004163288373]"
669,DB09291,"[0.6550066075300967, -0.06541778077244906, 0.023916238616384665, -1.0266619487344955, -0.032268169719183275]"
670,DB00904,"[0.7233407847597384, 0.8165856803421605, -0.8498428207201347, -0.8573947297487455, -0.858748917250424]"
671,DB00863,"[-0.43761237686131116, -0.5200845427960061, 0.33976416494340006, 0.01675292854894624, 0.6585228226579303]"
672,DB00363,"[1.4340289384481175, 0.15151943387586594, -1.6848929116421762, -1.1871267669073788, -0.828108838707464]"
673,DB04920,"[0.3602165772658913, 0.1456394969621666, 0.24666610350659773, -0.02826569365445408, 0.9691476002732716]"
674,DB01115,"[0.32868815285295094, -0.11854010652011757, 0.19785905141752344, -0.2857520543921491, 0.47252179381296605]"
675,DB03128,"[-1.3077531379498157, -1.0064692180444348, 0.4283931404418764, 0.18232474028403262, 0.7118359152760779]"
676,DB00208,"[0.9763826291784844, -0.2759082551702646, -0.636195758353707, -0.720326570576207, -1.3182105783345397]"
677,DB01018,"[0.42342653930886714, -0.9333628083331178, 0.05572011913552068, 0.37263343144452526, -0.1436606469081758]"
678,DB00692,"[0.6280605561437781, -0.40259701761662947, -1.1029597628444163, -0.40164110626047317, -0.039507555834222136]"
679,DB00935,"[-0.29019789493161763, -0.427190296394755, -1.0793252026115328, -0.34036983336537463, 0.3369746008624387]"
680,DB08815,"[0.7565658299679314, 1.0897614778906455, -0.21076204887030603, -0.8651914081618464, -1.5736105269833744]"
681,DB00397,"[0.13590632656948734, -1.358147800630754, 0.2066324344556871, 0.14413619206152525, -0.705156471729094]"
682,DB01365,"[0.5728513615075449, -1.2441404657367428, -0.09768654070333448, 0.05863779441010563, -0.6345278088494031]"
683,DB06711,"[0.7385938398849612, -0.6058973730648161, -1.2365077773636595, -0.18442238079516227, -0.9262261132363532]"
684,DB00968,"[0.009332351221386443, -0.9639258229311022, 0.4639502239776879, 0.3185164039581929, 0.2809860974532001]"
685,DB05492,"[0.07178151501329845, -0.9020321680318089, -0.3680110051123382, 0.23042042025852852, 0.5353614637090846]"
686,DB00457,"[0.9161032709360412, 1.0333011336800635, -0.5496040552767275, 0.3043956215896971, 0.6802465001756367]"
687,DB00925,"[0.7551854025785323, -0.8786710765018014, 0.1749741021644911, 0.07405274157023733, 0.06295225471341105]"
688,DB09202,"[0.3844134825275579, 0.18670809222012288, -1.1503227070335145, -0.3868270858812754, -0.6093991653709547]"
689,DB04948,"[0.5750893239134901, -0.4596517790954363, -1.1351237052543808, -0.41188461065155835, 0.09360515843029267]"
690,DB00714,"[0.1929639120120808, 0.6037690905230398, -0.6492844479336517, -1.3322219463567107, -0.5865953283153742]"
691,DB00368,"[-0.21899280709014687, -1.1810895125143162, -0.5630559940611638, 0.3320365223979616, -0.12448983541234983]"
692,DB00248,"[0.6841510576426613, 0.7777133182824502, 0.8696756282158528, -0.8236152490285241, 0.035253643210593696]"
693,DB00668,"[-0.07294978323094037, -1.1500516976265351, -0.15235801621262085, 0.005291179172902821, 0.5033666524051141]"
694,DB06623,"[0.2928616568539002, -0.01738865852571944, -0.1293794952168505, 1.231610736288245, 0.9633092266074748]"
695,DB00320,"[1.2316285169532157, 2.0067646386590012, 1.4357826913338032, -1.278007601962912, -1.2329170920391002]"
696,DB00865,"[0.5795192020180673, -1.3913166854639727, 0.3818726868560183, -0.10733912265625117, -0.7283084461261826]"
697,DB00800,"[0.18217344975865613, -0.21777484871108074, -1.1633316723687712, -1.04906763648835, -0.21101565366046582]"
698,DB00217,"[0.699116886224909, -1.1555132391038612, 0.21556243181211054, 0.17955479135071906, -0.7060093875858147]"
699,DB01200,"[0.8154615059483911, 2.0701306621442495, 1.5019548948356134, -1.1055010235535494, -0.25293207884791147]"
700,DB00964,"[-0.02373508078155805, -0.46646481131786416, -1.637638803781693, -0.04257986483513907, -0.15134399252706493]"
701,DB00449,"[0.11678797579037681, -0.7146183591799461, 0.528672392944319, 0.34491975893519744, 1.3140863174253483]"
702,DB06262,"[-0.2867627184313608, -1.3020107746427816, 0.43659701923932376, 0.35788852360622886, -0.11504686670401819]"
703,DB00413,"[-0.9492183232701149, 0.3903990110231797, -0.28860424023868203, -0.04417422774512769, -0.2945094128744038]"
704,DB00697,"[0.2798804503285633, -0.4762378183665779, -1.6915085823069933, -0.20101977049827738, -0.320028827294584]"
705,DB00484,"[0.08486761281515973, -0.34558822908674247, -1.612794655241595, 0.2094305494971113, -0.29481289190673704]"
706,DB06694,"[-0.2533392564975322, -0.5735595930278362, -1.3039172814115452, -0.4544789936160868, 0.16680382607342978]"
707,DB01608,"[0.7397412564386268, 0.928009651918107, -0.34533062516009, -1.1359027700030766, -1.3848950186517859]"
708,DB00797,"[0.6475474717009763, -0.9121608777517161, -0.8040484639739343, -0.22673199487857076, -1.3285759860509587]"
709,DB00629,"[0.0412118236171929, -1.0401261110251714, -0.8066861753092097, -0.04538778633664035, -0.43416098361631167]"
710,DB01345,"[-1.3664063948639782, -1.6781559187503305, -0.7690517451327882, -0.5400298631129471, -0.49432068076390245]"
711,DB01188,"[-0.3763320001728354, 0.48120648567646174, -0.13017457657992693, -1.342359013509737, -0.23534093242328175]"
712,DB01021,"[-0.19712505590194368, -0.447757668763626, -0.7005434754362401, -0.5438781583121062, -0.05488819622176069]"
713,DB01378,"[-1.3684761766880755, -1.6658825633561474, -0.7766081695685559, -0.5501363734205363, -0.48360585253296223]"
714,DB00774,"[-0.11470295312322314, -0.6663937336599576, -0.720295637480745, -0.38294049592663815, -0.009406549240426387]"
715,DB01119,"[0.25896107838726484, -0.7085489141715928, -1.5482780016043924, -0.5026169497516093, 0.24849999374592913]"
716,DB00903,"[-0.06899102051154488, -0.6135403856659402, 0.36498455027742066, 0.27297019450438437, 0.8459753153619993]"
717,DB01370,"[-1.3390574661851906, -1.6617502706214125, -0.7818930625672589, -0.5609755424670474, -0.5156420991490456]"
718,DB01430,"[0.5084786226592706, -0.055529668247677175, -0.9154725927127664, -0.15547810381503746, -0.5467516438723242]"
719,DB01092,"[-1.801636255516342, 1.5956337839506047, 0.26539275795625844, -1.594694725416784, 0.46955014821448393]"
720,DB01158,"[0.20435517204624645, -1.1092452421337118, -0.6313259686978104, -0.1415712653177986, -0.40136676594215753]"
721,DB00511,"[-1.6863397779078597, 1.9063669262746288, 0.49998534437947306, -1.9573913761706452, 0.819906212867731]"
722,DB01078,"[-2.242457925009843, 2.0429018785602673, 0.3344775730441578, -1.422121983240583, 0.3116201856214613]"
723,DB01745,"[1.9116788836537404, 0.8828989309290166, 1.1930616350848975, 0.31024917890462383, 0.36832515417532796]"
724,DB06858,"[0.753230360487615, 1.2278763645334692, 1.2807838976025792, 0.0016659995728613756, -0.9070536626399622]"
725,DB07088,"[0.8837390753062581, 1.1281149020713033, 1.4366381365225263, -0.23590487234748686, -0.5692266736662025]"
726,DB03159,"[1.0863362183910876, -0.6876139464181992, -0.6379448801851909, 0.001794539987400241, -0.9456188289594646]"
727,DB04325,"[0.37291360492541054, -1.4437408104140184, -0.2565682217105001, 0.12566229614015215, -1.3124474543113591]"
728,DB06918,"[0.8511161159007358, -0.78777239439223, -0.688530772515928, 0.24314369808882846, -0.34196042131499776]"
729,DB07091,"[0.8931506636352553, 1.1503148789735804, 1.4417259718958124, -0.25049286629991563, -0.585872287972522]"
730,DB04470,"[0.9157036971994095, -0.3005087725340046, -0.7624728122155828, 0.8611746522232263, 0.7240522206717379]"
731,DB02875,"[0.25226946194589667, -0.6025947358146553, -1.4728975310784065, 0.42987935652524983, -0.01292384154452869]"
732,DB02288,"[0.40483151631265185, -0.620218094398934, -1.2354428672735809, 0.2606613672635235, 0.3906295622273213]"
733,DB04446,"[0.36279212324729476, -1.0624361399261624, -0.9377979883472872, -0.10607598454158394, -0.6154472854718983]"
735,DB01767,"[0.8754108439412936, -0.7821663119456422, -0.9109519386973952, 0.557820047989359, -0.6951219722710991]"
736,DB01836,"[0.8914170737738312, 0.8766204594269992, -1.0859095242934946, -0.4656425156116828, 0.11076684681341278]"
737,DB02112,"[1.562356746825683, 0.7501801414147995, 0.19117452475212587, -0.26452820268180055, -0.023684171238407062]"
738,DB04125,"[1.9712886157328573, 0.13808124187036588, 1.1185106134805625, 0.6664571054127301, -0.08800974218617123]"
739,DB03595,"[0.4015137424118432, -0.4830968543943675, -1.3276932759099873, 0.5629216356751602, 0.739189159844607]"
740,DB02526,"[0.8731072156640783, 0.517977265391867, -1.088227167920868, -0.28004850599549164, -0.0872975821870528]"
741,DB02287,"[0.8896783978370904, -0.8136799060081195, -1.3285869446547933, 0.4121604027607871, -0.4719764563234394]"
742,DB07131,"[0.8959541555124912, 1.1076641098219009, 1.5414328316901045, -0.29778363221167287, -0.5757223130914086]"
743,DB08254,"[0.525092515322449, -0.9299113451788754, -0.8013290980317537, -0.1292252242116819, -0.20302617409892912]"
745,DB01725,"[1.1611596384626606, -0.9190462094202669, -1.006441337361927, 0.6223277042400096, -0.8708957343233384]"
746,DB02744,"[1.2700178672515483, 1.070651101955256, -0.591703600379121, 0.09977319015959542, -0.48460161563670523]"
747,DB06853,"[0.753230360487615, 1.2278763645334692, 1.2807838976025792, 0.0016659995728613756, -0.9070536626399622]"
748,DB03443,"[-0.2734146942702004, -0.7764146246798702, -0.7303847135916087, 0.08478009265675365, -0.3797154506350849]"
749,DB02366,"[1.2643484095622777, -0.8202200634383247, -1.1697616836454123, 0.5732625893051893, -0.8128035897730768]"
750,DB03251,"[1.0108818389962935, 0.45861270208367905, 1.0195963562850678, 0.25554258453894363, -0.987608188358759]"
751,DB03373,"[0.8995879807370096, 0.9835981126731582, -0.10867281071802253, -0.11493965174271654, 0.6139209443262669]"
752,DB03243,"[-0.2259569101130873, -1.1663513205309528, -0.8469949237559509, -0.21834455808714706, -0.4872049175566588]"
753,DB01805,"[-1.6433505200182015, -0.9538057352788699, 1.358494168102259, 1.12995694593802, 0.1679554235322489]"
754,DB08184,"[0.9097541154709885, -0.4623787076532639, -0.6676160497812046, -0.010695790764011642, -0.4553203432285294]"
755,DB01741,"[1.2218148430417919, -0.6647305500425934, -0.49990705525879525, 0.7341976647228512, -0.27007169056898067]"
756,DB02989,"[1.0068491986803814, -0.2801255082075584, -0.9258618706256021, 0.8516282787932722, 0.6667252371752007]"
757,DB01705,"[0.41717304905415803, -0.7349417357894418, -0.8976144180506657, 0.5315659733268272, -0.24447124431009956]"
758,DB07985,"[0.9588631874645408, -0.46292327878755635, 1.1953248786887816, 0.8588792243852555, 0.8268784218683533]"
759,DB01905,"[0.4701591999274609, -0.37232312990379657, -1.2193105035955931, 0.23847906067252905, 1.4950655998043925]"
760,DB04391,"[0.7841326351747243, 1.0654536165617061, 2.4382396781615427, 0.22886715451023631, 0.3191382887367268]"
761,DB04654,"[-1.3647411965992604, -0.46437143843231515, -0.08310093016545295, -1.1102066535222603, -0.6245998402222294]"
762,DB08420,"[1.6291489418803515, 0.9993253377023003, 1.8935586733531735, 0.12530624089850262, -1.52400668783539]"
763,DB03081,"[1.7663681039473302, 0.5026154969430909, 1.8638357536047472, 0.48810900023538817, 1.0000174959903658]"
764,DB04215,"[0.29075127861193645, -0.440325479678736, -0.8640025210903581, -0.2512428912083872, 0.2845521959329614]"
765,DB06923,"[0.7097573744734361, -0.48409977770639695, -0.7292354175445339, 0.01934613307413563, -0.09141598860032628]"
766,DB04246,"[1.3510101235298768, -0.7749358801499445, -0.6544285524191935, 0.993788370806704, -0.7588159778736397]"
767,DB02463,"[0.7459666769094834, -0.6250038167421713, -0.9286172771062471, -0.21071841464601077, -0.687455272670381]"
768,DB02269,"[1.8912903328322443, 0.08250976479295206, 0.7936020159490963, 1.36507486916029, 0.44658525169676255]"
769,DB04442,"[0.4612923759737241, -0.42817774609022663, -1.4041308973667315, 0.29121033416476233, -0.5142166570072546]"
770,DB02812,"[0.915247529876233, 0.8956914196940681, 1.1601776624330284, 0.3629377012360186, -0.728114166421442]"
771,DB04792,"[-0.3876025670090672, 0.0517241840848022, -0.21654464745694602, -0.20311978317902435, 0.3082645146528409]"
772,DB03127,"[0.18936358103954107, -1.351837506551116, -0.23555704269917144, 0.04452228787747518, -0.9163748066400553]"
773,DB01939,"[0.4166729991644268, -0.837175244367175, -1.1222073757311208, 0.525448843648495, -0.2152961803104112]"
774,DB03876,"[0.4835896488193763, -0.7811612754268923, -1.5550562248152606, 0.5176416621777162, -0.2569753668502402]"
775,DB04432,"[0.5323097245523998, -0.6344735782108696, -0.4193239013117462, 0.43250443383362375, 0.7609964832987582]"
776,DB07368,"[-0.34383242229884786, -0.9766678065507318, -0.24351376043461448, 0.16991751139210137, 0.2924128987071205]"
777,DB03608,"[-0.04876077199593184, -1.0731746129589743, -0.2309798346944286, 0.47988337391331165, -0.050027605341849815]"
778,DB04336,"[0.30961888118874614, -0.9356160528232536, -0.013962585014596515, 0.5517418032805588, 0.37095175805096803]"
779,DB04790,"[0.3002348120569619, 0.12139059396708107, -0.35962675781752074, -0.0844415760885464, 0.15459369870855114]"
780,DB04791,"[0.3830397061788347, 0.1617336242514752, -0.3414435417784344, -0.07660410859810064, 0.37866363341911297]"
781,DB04238,"[2.175787644239492, 0.7762052200329457, 1.6140943158819707, 0.18820791351461308, -0.9949955066851193]"
