,Disease,Size of largest pathway component,Density of pathway,Network Modularity,Distance of Pathway Components,Spatial Network Association
84,C0017601,0.090909091,0.034632035,-0.001647569,3.123684211,0.07237333
85,C0039231,0.117647059,0.066176471,-0.001434293,2.8125,0.2547458
86,C0346153,0.642857143,0.340659341,-0.008315925,2.12962963,0.872176
87,C0022116,0.444444444,0.082621083,-0.008197652,2.96875,0.6621883
88,C0032580,0.2,0.111111111,-0.003475956,2.696428571,0.1673182
89,C0040128,0.083333333,0.106060606,-0.001061259,2.781818182,0.9904128
90,C0030319,0.076923077,0.051282051,-0.00059391,2.857142857,0.9990669
91,C0009404,0.530172414,0.01235259,-0.036412927,3.393360687,0.9230971
92,C0001624,0.636363636,0.345454545,-0.008062161,2.476190476,0.06382141
93,C0038644,0.230769231,0.08974359,-0.000738827,3.459259259,0.7600071
94,C0027819,0.244897959,0.047619048,-0.016297009,2.861951754,0.6554593
95,C2931456,0.307692308,0.141025641,-0.003470257,2.861111111,0.7389793
96,C0024667,0.782608696,0.038400508,-0.048485233,3.177722255,0.6735671
97,C0029422,0.2,0.104761905,-0.002380037,3.103535354,0.07918531
98,C0041755,0.12962963,0.029350105,-0.006816327,3.049817675,0.1900087
99,C0015625,0.894736842,0.321637427,-0.00285132,2.607843137,0.07938921
100,C0751778,0.166666667,0.106060606,-0.001493527,2.809090909,0.6465128
101,C0206762,0.125,0.05,-0.001742387,2.901098901,0.2030186
102,C0429087,0.1,0.066666667,-0.001025749,2.916666667,0.9937118
103,C0024668,0.782894737,0.035813872,-0.050969075,3.095909398,0.7985807
104,C0018824,0.125,0.057971014,-0.003865845,2.680701754,0.4807216
105,C0079744,0.289473684,0.06970128,-0.009587676,2.500919118,0.2039784
106,C0019158,0.1,0.094736842,-0.003253106,2.785714286,0.9417809
107,C0271650,0.307692308,0.141025641,-0.002635286,2.633928571,0.9927038
108,C0162666,0.2,0.057142857,-0.001532116,2.666666667,0.9991589
109,C0019151,0.153846154,0.141025641,-0.002362192,2.55,0.1216489
110,C0026769,0.155963303,0.009683996,-0.011001965,3.181332642,0.9988396
111,C0600467,0.25,0.121212121,-0.007689245,3.356481481,0.7535867
112,C0024141,0.056818182,0.010710554,-0.006923621,3.046192491,0.9973639
113,C2931673,0.3,0.155555556,-0.002748013,2.547619048,0.06401815
114,C0152013,0.458333333,0.052304965,-0.015390773,2.691467305,0.04261716
115,C0175702,0.1,0.066666667,-0.002053598,2.533333333,0.4078628
116,C0268362,0.272727273,0.127272727,-0.00170692,2.544973545,0.1878662
117,C0268363,0.3,0.111111111,-0.000836449,2.761904762,0.3074043
118,C0241910,0.176470588,0.102941176,-0.001013949,3.098412698,0.1133563
119,C0033578,0.754639175,0.012797137,-0.089568965,3.423896013,0.1381085
120,C2936907,0.85,0.5,-0.002592673,2.833333333,0.000513974
121,C0848558,0.052631579,0.01754386,-0.001037586,2.945054945,0.2611838
122,C0026764,0.256410256,0.045883941,-0.006938469,2.966666667,0.300714
123,C0015695,0.079365079,0.022017409,-0.009635497,2.76652509,0.9999995
124,C0023290,0.142857143,0.142857143,-0.001016908,2.738888889,0.8382062
125,C0393706,0.111111111,0.052287582,-0.002626239,2.852941176,0.7828204
126,C0022521,0.071428571,0.002645503,-0.000750644,3.420948617,0.1721223
127,C0005586,0.069444444,0.013302034,-0.012453464,3.15137415,0.5469805
128,C0242350,0.2,0.2,-0.001422472,2.660714286,0.09568874
129,C0265215,0.466666667,0.152380952,-0.003771442,2.246428571,0.0982592
130,C0005612,0.1,0.066666667,-0.000434283,3.177777778,0.2720252
131,C0004352,0.271653543,0.007625035,-0.032477948,3.108473073,0.5491141
132,C0023904,0.221052632,0.012318029,-0.013576197,3.08240314,1.0
133,C1961099,0.611111111,0.14379085,-0.006127409,2.529220779,0.3482705
134,C0027404,0.08,0.013333333,-0.000567322,3.445833333,0.9937848
135,C0015967,0.142857143,0.071428571,-0.002172294,3.050108932,0.2966641
136,C0001418,0.675925926,0.042748356,-0.035065398,3.135805832,0.3866977
137,C0887833,0.25,0.1,-0.004187727,2.539194139,0.01819385
138,C0740392,0.28,0.09,-0.005284762,2.633986928,0.5856192
139,C0020538,0.671794872,0.016759186,-0.036608542,3.271269757,0.09858611
140,C0349639,0.157894737,0.076023392,-0.004288533,2.427777778,0.02269599
141,C0023343,0.115384615,0.033846154,-0.002439342,3.149206349,0.901436
142,C0027051,0.5,0.03030303,-0.017976973,3.05392316,0.4570144
143,C0042109,0.0625,0.083333333,-0.003651361,2.733333333,0.7784392
144,C0003811,0.15,0.063157895,-0.001662413,2.88671024,0.3311176
145,C0018995,0.25,0.106060606,-0.00070928,3.211309524,0.2444961
146,C0030297,0.6125,0.047468354,-0.020934978,3.247474113,0.1714108
147,C0020507,0.230769231,0.070769231,-0.007456095,2.80265069,0.6680611
148,C0030354,0.181818182,0.218181818,-0.005836568,2.458333333,0.1506721
149,C0030193,0.041666667,0.021276596,-0.005311244,3.14695122,0.9614323
150,C0000768,0.181818182,0.090909091,-0.001935041,2.744444444,0.06298696
151,C1834752,0.166666667,0.136363636,-0.000658982,3.071428571,0.989772
152,C0022658,0.155555556,0.016978777,-0.010982414,3.21037995,0.4310536
153,C0206062,0.0625,0.058333333,-0.002498563,2.838095238,0.1065499
154,C0007117,0.103448276,0.019704433,-0.005138085,2.961988304,0.9999991
155,C2239176,0.797297297,0.028005381,-0.059161551,3.158522806,0.2422954
156,C0206726,0.25,0.108333333,-0.008391312,2.560606061,0.07511029
157,C0948089,0.64516129,0.122580645,-0.012265289,2.540740741,0.5158776
158,C0029927,0.028571429,0.013445378,-0.004702449,3.030107527,0.4343938
159,C0036346,0.0625,0.025,-0.001929078,3.057142857,0.1813092
160,C0206686,0.705882353,0.220588235,-0.010726201,2.577777778,0.03699379
161,C0036341,0.335714286,0.006451613,-0.044415064,3.247988136,0.802303
162,C0333641,0.2,0.155555556,-0.003056862,2.486111111,0.3478448
163,C1800706,0.117647059,0.080882353,-0.001638769,3.045454545,0.3567102
164,C0431362,0.214285714,0.076923077,-0.000928176,3.246296296,0.7822778
165,C0431363,0.214285714,0.076923077,-0.000928176,3.246296296,0.7273776
166,C0021051,0.352941176,0.088235294,-0.001114651,2.92962963,0.04197357
167,C0004134,0.133333333,0.057142857,-0.000842365,3.246212121,0.5137395
168,C0279628,0.5,0.131868132,-0.005604002,2.535714286,0.09351959
169,C0035334,0.075949367,0.018500487,-0.009343092,3.223056361,0.03605474
170,C0279626,0.647058824,0.039495798,-0.027887301,2.993217893,0.3652192
171,C0004364,0.151515152,0.053030303,-0.006907786,2.821692308,0.07811806
172,C0011991,0.2,0.066666667,-0.000546618,3.5,0.3569381
173,C0151744,0.596491228,0.018163055,-0.038035937,3.005888377,0.1766956
174,C0085580,0.238095238,0.033333333,-0.001606178,2.833333333,0.9999958
175,C0019209,0.1,0.133333333,-0.001265491,2.861111111,0.1601439
176,C0026848,0.068965517,0.041871921,-0.003473168,2.983333333,0.6850469
177,C0019202,0.166666667,0.072463768,-0.004342379,2.783496732,0.3035366
178,C0015393,0.25,0.091666667,-0.002291028,3.016666667,0.5657964
179,C0026846,0.230769231,0.128205128,-0.004890525,2.527272727,0.1941384
180,C0004782,0.166666667,0.060606061,-0.000815713,3.081818182,0.1010088
181,C0019163,0.1875,0.091666667,-0.001277425,3.305555556,0.6893563
182,C0024115,0.081632653,0.027210884,-0.006884449,2.946226976,0.5050054
183,C0024117,0.098039216,0.020392157,-0.008779845,3.075809524,0.3805175
