,Disease,Size of largest pathway component,Density of pathway,Network Modularity,Distance of Pathway Components,Spatial Network Association
369,C0376358,0.205128205,0.014652015,-0.012174251,3.007912458,0.3964986
370,C1319853,0.153846154,0.08974359,-0.000520021,3.418181818,0.2658154
371,C0265275,0.1,0.0,-0.000502266,3.25,0.1904782
372,C0007134,0.503937008,0.020122485,-0.027573908,3.00992289,0.009715004
373,C0007137,0.790697674,0.070314637,-0.036786311,3.095710784,0.1897282
374,C0007131,0.658119658,0.02991453,-0.02996077,3.047473535,0.8124602
375,C0677050,0.181818182,0.218181818,-0.004318241,2.638888889,0.6503064
376,C0242698,0.2,0.114285714,-0.003152001,2.739316239,0.2517915
377,C0007138,0.612903226,0.11827957,-0.012579916,2.935897436,0.1141908
378,C0026691,0.153846154,0.051282051,-0.001271435,3.055555556,0.7657018
379,C0040336,0.090909091,0.072727273,-0.000703314,3.036363636,0.1772253
380,C0033687,0.368421053,0.058321479,-0.00743658,2.859872012,0.2501572
381,C0011881,0.128205128,0.051282051,-0.00712715,2.799275362,0.3788897
382,C0007959,0.1,0.034482759,-0.005753234,2.814009662,0.02691746
383,C0029172,0.466666667,0.180952381,-0.001707108,2.834183673,0.9928931
384,C0001430,0.34375,0.052419355,-0.010402596,2.898858717,0.3378406
385,C0027947,0.153846154,0.064102564,-0.000685583,3.015151515,0.2675601
386,C1843367,0.076923077,0.038461538,-0.001407615,2.935897436,0.7811459
387,C0032273,0.071428571,0.065934066,-0.001724577,3.230769231,0.4342478
388,C0007222,0.230769231,0.029411765,-0.006334185,2.923346561,0.6140563
389,C1561955,0.090909091,0.017316017,-0.001209267,3.011029412,0.7188368
390,C0011860,0.433526012,0.014383654,-0.025156091,3.050177712,0.8398863
391,C0040034,0.304347826,0.075098814,-0.002825526,2.882312925,0.1447014
392,C0036920,0.615384615,0.132307692,-0.012038993,2.721527778,0.3289237
393,C1112705,0.416666667,0.181818182,-0.000434324,2.857142857,0.3814985
394,C0011884,0.105263158,0.064327485,-0.003190634,2.760989011,0.9770878
395,C1384666,0.023255814,0.015503876,-0.004243634,2.957983193,0.7806378
396,C0033975,0.2,0.073684211,-0.008181336,2.653846154,0.4554533
397,C0003469,0.189189189,0.037537538,-0.009613054,3.131901311,0.2094644
398,C1261502,0.2,0.076190476,-0.001532061,2.846153846,0.3396008
399,C0022665,0.37037037,0.116809117,-0.008096766,2.703888889,0.417045
400,C0026603,0.058823529,0.007352941,-0.00102279,2.989010989,0.929399
401,C0024305,0.227272727,0.103896104,-0.005926935,2.986263736,0.1815043
402,C0024301,0.130434783,0.063241107,-0.004431674,2.902777778,0.8913384
403,C0040028,0.25,0.151515152,-0.004508902,2.540740741,0.1560202
404,C0003864,0.1,0.066666667,-0.001318783,3.222222222,0.07593672
405,C0020649,0.094339623,0.030478955,-0.004241797,3.040908013,0.5264846
406,C0035126,0.576470588,0.050140056,-0.02211275,2.89967919,0.7592898
407,C0018843,0.75,0.454545455,-0.006463163,2.055555556,0.04056098
408,C0018923,0.611111111,0.189542484,-0.009340063,2.913636364,0.1345247
409,C0013182,0.085714286,0.033613445,-0.004962273,3.144252874,0.5769154
410,C1840235,0.214285714,0.076923077,-0.000928176,3.246296296,0.7890315
411,C0025149,0.533333333,0.052525253,-0.01096955,2.775548246,0.1563314
412,C0008924,0.346153846,0.104615385,-0.004874218,2.970975783,0.5546664
413,C0008925,0.325,0.073076923,-0.007585274,2.705646682,0.09777549
414,C0151786,0.193548387,0.011687705,-0.01457216,3.261973775,0.4089732
415,C0027643,0.48,0.116666667,-0.012926929,2.737179487,0.4069288
416,C0004114,0.541666667,0.152173913,-0.011382235,2.544017094,0.2556205
417,C1260899,0.875,0.683333333,-0.008794028,2.0,4.71e-09
418,C1565489,0.4,0.2,-0.00094887,2.857142857,0.6211644
419,C0025286,0.25,0.196969697,-0.002855073,2.734126984,0.5944575
420,C0006625,0.3,0.2,-0.001644665,2.714285714,0.2748049
421,C0035229,0.090909091,0.072727273,-0.001200365,2.836363636,0.1670525
422,C0035228,0.166666667,0.078431373,-0.003214467,2.828571429,0.04605231
423,C2931822,0.545454545,0.103896104,-0.007903285,2.81712963,0.2692301
424,C0020429,0.267605634,0.032193159,-0.008595384,3.35168855,0.991682
425,C0339527,0.090909091,0.017316017,-0.002436288,3.068421053,0.4190322
426,C1720824,0.117647059,0.044117647,-0.003122229,2.857142857,0.4632961
427,C3714756,0.054263566,0.00811531,-0.017929977,2.923846674,0.1382949
428,C0018213,0.043478261,0.027667984,-0.000936985,3.019047619,0.7448063
429,C0235032,0.346153846,0.055384615,-0.004574948,3.360929557,0.7046833
430,C3495498,0.2,0.088888889,-0.000845293,2.486111111,0.1296658
431,C0004238,0.192307692,0.049230769,-0.002567009,2.984415584,0.8549775
432,C0019189,0.454545455,0.12987013,-0.005243641,2.631111111,0.3829675
433,C0004943,0.111111111,0.071225071,-0.003357389,2.948075527,0.996055
434,C0011854,0.116883117,0.015721121,-0.006681617,3.241029673,0.9242227
435,C0011853,0.745283019,0.037735849,-0.022484905,3.111219301,0.1120142
436,C0242422,0.391304348,0.114624506,-0.006800745,2.800976801,0.6822322
437,C0027540,0.442307692,0.049773756,-0.016624846,2.911556559,0.3080586
438,C0085207,0.166666667,0.106060606,-0.001955793,2.818181818,0.3166655
439,C0086445,0.095238095,0.028571429,-0.002489704,3.019047619,0.8630417
440,C0020517,0.19047619,0.033794163,-0.007177553,3.12215873,0.330076
441,C0027092,0.085714286,0.023529412,-0.004643168,3.172962963,0.9817712
442,C0020452,0.153846154,0.102564103,-0.001484642,2.772727273,0.5681394
443,C0040427,0.1,0.111111111,-0.001274373,2.755555556,0.7540995
444,C0020456,0.55,0.121052632,-0.004074718,2.987878788,0.1435834
445,C0028326,0.705882353,0.235294118,-0.003292832,3.055555556,0.01928509
446,C0020459,0.1875,0.116666667,-0.002050743,2.715811966,0.2808964
447,C0013604,0.16,0.073333333,-0.003583206,2.805194805,0.8623802
448,C0019829,0.166666667,0.065359477,-0.003473106,3.058080808,0.1443979
449,C0005944,0.181818182,0.109090909,-0.00325299,2.708333333,0.332261
450,C0005941,0.04,0.02,-0.002715255,2.963768116,0.8472493
451,C0042514,0.1,0.133333333,-0.001487577,2.666666667,0.2449293
452,C0013421,0.071428571,0.076923077,-0.002629161,2.705128205,0.06570885
453,C1168401,0.4,0.083333333,-0.010095208,3.04,0.0950407
454,C0034065,0.272727273,0.145454545,-0.000839392,3.101851852,0.7536254
455,C0034069,0.395833333,0.053191489,-0.004376911,2.936155043,0.1154902
456,C0037769,0.133333333,0.066666667,-0.002160431,2.897435897,0.5005402
457,C2937358,0.5,0.108465608,-0.004310868,2.850078493,0.5196599
458,C0035828,0.714285714,0.197802198,-0.003105017,3.35,0.8183798
459,C0026640,0.697674419,0.087486157,-0.016296016,2.758547009,0.3405857
460,C0023890,0.484375,0.034722222,-0.009148685,3.040706605,0.9962797
461,C0028754,0.365771812,0.006327255,-0.033242289,3.264806028,0.9183587
462,C0023892,0.060606061,0.03219697,-0.003886608,3.13362069,0.7746415
463,C1961102,0.454545455,0.061310782,-0.011723184,2.859671053,0.2076405
464,C0878544,0.655555556,0.034706617,-0.021007812,3.06697649,0.07339063
465,C1832200,1.0,0.418181818,-0.000603028,0.0,0.255405
466,C0265965,0.583333333,0.272727273,-0.001576816,2.8,0.4787726
467,C0041948,0.294117647,0.125,-0.004875789,2.528787879,0.1131691
468,C0011581,0.189189189,0.046546547,-0.005709041,2.957619048,0.2720254
469,C0040053,0.536585366,0.073170732,-0.002910299,2.86344697,0.8040783
470,C0027765,0.094339623,0.02467344,-0.007441374,2.811962834,0.5200192
471,C0024299,0.19047619,0.057142857,-0.003996876,2.688644689,0.2262276
472,C0017661,0.604444444,0.007057659,-0.070383528,3.146560169,0.04185394
473,C0334634,0.538461538,0.192307692,-0.004178793,3.353741497,0.3311697
474,C0020672,0.166666667,0.090909091,-0.001612016,3.109090909,0.3509755
475,C0086543,0.333333333,0.104761905,-0.003125763,2.87755102,0.4781093
476,C0524909,0.133333333,0.066666667,-0.002047704,2.967032967,0.4200465
477,C0011609,0.166666667,0.058823529,-0.002326588,3.071428571,0.9715144
478,C0346647,0.058823529,0.022058824,-0.001499424,2.794871795,0.9375535
479,C0038356,0.767605634,0.019683472,-0.076577004,3.30250706,0.000252904
480,C0029463,0.461538462,0.062078273,-0.014901523,2.831086601,0.9409912
481,C0042900,0.057142857,0.031932773,-0.003951945,2.86091954,0.7990188
482,C0038358,0.111111111,0.104575163,-0.002249495,2.876373626,0.975827
483,C0021390,0.08,0.008686869,-0.012854231,3.084809625,0.8916149
484,C0860207,0.420689655,0.013697318,-0.017347549,3.344169851,1.0
485,C0010278,0.181818182,0.127272727,-0.00172757,2.755555556,0.09330668
486,C0079773,0.428571429,0.138095238,-0.008849751,2.443452381,0.3125666
487,C0079772,0.727272727,0.327272727,-0.008614752,2.708333333,0.8881952
488,C0424295,0.161290323,0.038709677,-0.002460248,2.992,0.1638656
489,C0037268,0.2,0.133333333,-0.001869827,2.819444444,0.1421789
490,C0677886,0.090909091,0.034632035,-0.004789065,2.84375,0.2832191
491,C0282527,1.0,0.397435897,-0.000839807,0.0,0.2093315
492,C0282525,1.0,0.397435897,-0.000839807,0.0,0.199376
493,C0019569,0.1875,0.05,-0.000729968,3.182539683,0.9973877
494,C1720887,0.111111111,0.052287582,-0.003535556,2.99047619,0.230975
495,C0919267,0.623762376,0.042772277,-0.029574377,3.178155402,0.01416536
496,C0162871,0.272727273,0.181818182,-0.001443229,2.660714286,0.8614738
497,C0042487,0.65,0.163157895,-0.00133404,2.980769231,0.1465743
498,C0002622,0.176470588,0.095588235,-0.007527498,3.061965812,0.5617175
499,C0020557,0.214285714,0.098901099,-0.001099771,2.98989899,0.2453399
500,C0019080,0.1875,0.108333333,-0.002234663,2.797008547,0.1328649
501,C0038220,0.492537313,0.040253279,-0.012137804,3.173744838,0.443273
502,C1561643,0.045454545,0.008658009,-0.001428345,3.095238095,0.4696871
503,C0023473,0.318181818,0.134199134,-0.00661266,2.531746032,0.07484693
504,C0023470,0.411764706,0.154411765,-0.004780977,2.52987013,0.1156011
505,C0006663,0.394736842,0.052631579,-0.005103849,2.919894598,0.4205195
506,C0003504,0.545454545,0.236363636,-0.00313148,2.744444444,0.3798918
507,C1960469,0.333333333,0.106060606,-0.002308787,2.6875,0.4595079
508,C0030567,0.363636364,0.019015847,-0.018130032,3.025273701,0.2800428
509,C0014170,0.411764706,0.049411765,-0.012806857,2.87993488,0.1446081
510,C0243026,0.333333333,0.123809524,-0.005246059,3.062049062,0.9701305
511,C0014175,0.52173913,0.01886646,-0.030302237,3.256285037,0.4503255
512,C0014859,0.671428571,0.051345756,-0.02420388,3.108373771,0.6461796
513,C0341106,0.05,0.015789474,-0.001724577,3.075,0.7085765
514,C0005684,0.125,0.066666667,-0.002409582,2.868131868,0.184791
515,C0752347,0.526315789,0.14619883,-0.009450717,2.597777778,0.08549568
516,C3160718,0.333333333,0.076190476,-0.004065492,2.648809524,0.1799231
517,C0311375,0.283333333,0.023163842,-0.011435184,3.003843398,0.01967438
518,C0007621,0.594339623,0.040431267,-0.033937143,2.934458969,1.0
